Estimado,Indicador,Inferior,Superior,cod_region,fecha
3.5143389790171,A1,1.18995676490421,5.95970013089525,15,2020-04-01
3.95462298203165,A1,1.97334496846615,7.14965689579946,15,2020-04-02
3.8832255761374,A1,1.57669271349808,6.74308833445718,15,2020-04-03
4.13311649676728,A1,1.58660901987228,7.54630915076752,15,2020-04-04
4.02602038792591,A1,1.58660901987228,6.35635238586332,15,2020-04-05
4.94030383562731,A1,2.36999722343422,9.1329181706398,15,2020-04-06
4.52976875173535,A1,1.97334496846615,7.53639284439332,15,2020-04-07
4.41672285906945,A1,1.58660901987228,7.54630915076752,15,2020-04-08
3.52623854666614,A1,1.18995676490421,6.34643607948911,15,2020-04-09
3.05818888580382,A1,1.18995676490421,5.56304787592718,15,2020-04-10
2.68136924358415,A1,0.793304509936139,4.76974336599104,15,2020-04-11
2.39974614255682,A1,0.783388203561937,4.37309111102297,15,2020-04-12
3.35171155448019,A1,1.18995676490421,6.34643607948911,15,2020-04-13
3.00860735393281,A1,0.793304509936139,5.1564793145849,15,2020-04-14
3.00464083138313,A1,1.18004045853001,5.1564793145849,15,2020-04-15
3.14148585934711,A1,1.18995676490421,5.94978382452104,15,2020-04-16
3.57383681726231,A1,1.18995676490421,6.34643607948911,15,2020-04-17
3.58771964618619,A1,1.18995676490421,6.74308833445718,15,2020-04-18
3.8931418825116,A1,1.58660901987228,6.74308833445718,15,2020-04-19
5.18622823370751,A1,2.36999722343422,9.1230018642656,15,2020-04-20
4.45440482329142,A1,1.58660901987228,7.93304509936139,15,2020-04-21
4.20451390266154,A1,1.98326127484035,6.75300464083139,15,2020-04-22
3.03240648923089,A1,0.793304509936139,5.1564793145849,15,2020-04-23
2.94514299313792,A1,1.18004045853001,5.55313156955297,15,2020-04-24
2.6397207568125,A1,0.793304509936139,5.16639562095911,15,2020-04-25
2.48899289992464,A1,0.783388203561937,4.75982705961683,15,2020-04-26
3.64920074570624,A1,1.57669271349808,6.35635238586332,15,2020-04-27
3.61151878148427,A1,1.58660901987228,5.94978382452104,15,2020-04-28
3.34179524810599,A1,1.18995676490421,5.94978382452104,15,2020-04-29
2.7527666494784,A1,0.793304509936139,5.1564793145849,15,2020-04-30
2.60600531514022,A1,0.793304509936139,5.1564793145849,15,2020-05-01
2.4037126651065,A1,0.793304509936139,4.75982705961683,15,2020-05-02
2.22918567292055,A1,0.396652254968069,4.36317480464876,15,2020-05-03
3.05620562452898,A1,1.18995676490421,5.94978382452104,15,2020-05-04
2.8261473166475,A1,0.793304509936139,5.1564793145849,15,2020-05-05
3.05223910197929,A1,0.793304509936139,5.55313156955297,15,2020-05-06
2.79639839752489,A1,0.396652254968069,5.1564793145849,15,2020-05-07
2.86382928086946,A1,0.793304509936139,5.1564793145849,15,2020-05-08
3.15338542699615,A1,1.18995676490421,5.56304787592718,15,2020-05-09
3.22279957161556,A1,1.18004045853001,5.94978382452104,15,2020-05-10
4.86493990718337,A1,1.98326127484035,8.72634960929753,15,2020-05-11
4.74991075324263,A1,1.98326127484035,7.53639284439332,15,2020-05-12
4.94823688072667,A1,2.37991352980842,8.32969735432946,15,2020-05-13
4.97401927729959,A1,2.36999722343422,7.94296140573559,15,2020-05-14
5.18424497243267,A1,2.37991352980842,8.33961366070366,15,2020-05-15
5.63841180437111,A1,3.17321803974456,9.1230018642656,15,2020-05-16
5.74749117448733,A1,2.37991352980842,9.51965411923367,15,2020-05-17
8.42886041807148,A1,4.75982705961683,13.0895244139463,15,2020-05-18
8.58355479750902,A1,5.1465630082107,13.0895244139463,15,2020-05-19
7.90726270278846,A1,4.36317480464876,12.2962199040102,15,2020-05-20
8.36142953472691,A1,4.75982705961683,13.0994407203205,15,2020-05-21
8.29399865138233,A1,4.35325849827456,13.0895244139463,15,2020-05-22
8.14525405576931,A1,4.35325849827456,12.6928721589782,15,2020-05-23
7.69307048510571,A1,3.9665225496807,11.8995676490421,15,2020-05-24
10.037285311967,A1,5.94978382452104,14.6860497401928,15,2020-05-25
9.40859148784261,A1,5.1465630082107,13.8927452302566,15,2020-05-26
10.6540795684423,A1,5.55313156955297,15.4793542501289,15,2020-05-27
11.5088651778985,A1,7.53639284439332,17.056046963627,15,2020-05-28
13.5912895164809,A1,8.31978104795526,19.0492245448415,15,2020-05-29
13.8947284915315,A1,7.93304509936139,19.4359604934354,15,2020-05-30
12.9487128634326,A1,7.52647653801912,18.6525722898735,15,2020-05-31
19.5827218277736,A1,13.0796081075721,26.2087977470152,15,2020-06-01
16.7605410336758,A1,11.1062631391059,22.2125262782119,15,2020-06-02
15.0073380667169,A1,9.1230018642656,21.42913807465,15,2020-06-03
14.273531395026,A1,8.72634960929753,20.2292650033715,15,2020-06-04
13.1272063781683,A1,9.1130855578914,18.6525722898735,15,2020-06-05
13.2382690095593,A1,9.1130855578914,19.4359604934354,15,2020-06-06
12.3021696878347,A1,7.93304509936139,17.4526992185951,15,2020-06-07
16.4789179326484,A1,10.7096108841379,23.8090516044584,15,2020-06-08
15.5884336202451,A1,9.91630637420174,22.2224425845861,15,2020-06-09
16.2905081115386,A1,10.3129586291698,22.6190948395542,15,2020-06-10
14.5749871088017,A1,9.1230018642656,20.6259172583396,15,2020-06-11
14.8546269485542,A1,9.90639006782754,20.645749871088,15,2020-06-12
17.1730593788426,A1,11.0963468327317,24.1957875530522,15,2020-06-13
15.3087937804926,A1,10.6996945777637,21.0225695133077,15,2020-06-14
18.6347229383999,A1,13.0796081075721,24.6023561143945,15,2020-06-15
16.4491690135258,A1,10.7096108841379,23.0157470945222,15,2020-06-16
