Domingo_semana,0,0.0275,0.975,region
2020-03-01,13.6,9.8,17.0,0
2020-03-08,73.0,63.8,81.3,0
2020-03-15,272.6,260.1,288.6,0
2020-03-22,337.6,319.4,359.2,0
2020-03-29,375.4,356.9,395.9,0
2020-04-05,399.0,379.4,417.8,0
2020-04-12,535.2,513.8,558.9,0
2020-04-19,871.4,841.5,897.0,0
2020-04-26,1995.1,1947.8,2038.6,0
2020-05-03,3670.6,3602.2,3725.4,0
2020-05-10,4680.5,4611.3,4756.3,0
2020-05-17,5270.4,5195.0,5351.8,0
2020-05-24,5135.5,5063.2,5224.1,0
2020-05-31,5008.9,4932.8,5091.8,0
2020-06-07,4382.9,4312.1,4447.5,0
2020-06-14,4006.6,3955.3,4068.8,0
2020-06-21,3214.3,3153.6,3275.9,0
2020-06-28,2709.1,2658.7,2761.8,0
2020-07-05,2350.6,2306.1,2406.3,0
2020-07-12,2072.7,2024.9,2117.9,0
2020-07-19,1983.8,1939.2,2028.8,0
2020-07-26,1864.9,1826.1,1911.2,0
2020-08-02,1818.9,1757.5,1864.4,0
2020-08-09,1683.0,1642.7,1726.9,0
2020-08-16,1753.1,1714.8,1791.4,0
2020-08-23,1837.6,1794.8,1881.8,0
2020-08-30,1854.5,1812.9,1895.1,0
2020-09-06,1673.0,1636.6,1714.5,0
2020-09-13,1460.3,1421.1,1505.9,0
2020-09-20,1680.3,1633.9,1727.3,0
2020-09-27,1548.0,1511.9,1592.5,0
2020-10-04,1492.4,1452.0,1534.0,0
2020-10-11,1450.8,1414.9,1480.1,0
2020-10-18,1375.4,1336.5,1416.3,0
2020-10-25,1355.4,1324.6,1395.3,0
2020-11-01,1380.5,1349.2,1420.3,0
2020-11-08,1371.1,1328.1,1405.6,0
2020-11-15,1370.2,1335.7,1406.0,0
2020-11-22,1411.0,1375.1,1446.9,0
2020-11-29,1601.3,1568.0,1649.9,0
2020-12-06,1783.4,1743.1,1827.6,0
2020-12-13,2040.6,1999.6,2093.3,0
2020-12-20,2302.7,2258.0,2346.3,0
2020-12-27,3023.9,2975.9,3069.6,0
2021-01-03,4016.3,3956.4,4081.3,0
2021-01-10,4001.6,3941.6,4059.2,0
2021-01-17,4073.1,4000.8,4139.8,0
2021-01-24,3935.7,3813.5,4070.0,0
