Domingo_semana,region,0,0.0275,0.975
2020-05-03,2,14.4,2.7,25.6
2020-05-03,3,1.0,-2.1,4.2
2020-05-03,4,17.4,12.1,23.0
2020-05-03,5,37.0,24.9,51.9
2020-05-03,6,19.4,13.6,24.7
2020-05-03,7,9.2,4.7,13.6
2020-05-03,8,14.8,8.7,20.9
2020-05-03,9,5.6,-0.4,10.9
2020-05-03,10,2.8,-0.8,6.4
2020-05-03,11,0.1,-0.3,0.4
2020-05-03,12,-3.1,-7.2,2.3
2020-05-03,13,1521.4,1456.1,1595.2
2020-05-03,14,0.5,-1.3,2.3
2020-05-03,15,-0.3,-3.7,3.3
2020-05-03,16,5.6,1.6,9.7
2020-05-10,1,41.2,29.7,53.7
2020-05-10,2,19.9,6.6,35.2
2020-05-10,3,-2.3,-5.8,0.7
2020-05-10,4,4.0,-2.8,11.6
2020-05-10,5,48.0,30.8,63.3
2020-05-10,6,22.4,14.5,32.4
2020-05-10,7,18.1,12.4,25.0
2020-05-10,8,10.0,3.1,17.3
2020-05-10,9,5.7,-0.1,12.2
2020-05-10,10,1.8,-2.5,6.7
2020-05-10,11,0.1,-0.3,0.6
2020-05-10,12,-4.0,-8.2,0.4
2020-05-10,13,819.4,730.8,912.3
2020-05-10,14,3.5,0.9,6.1
2020-05-10,15,4.9,1.0,8.4
2020-05-10,16,12.8,7.1,19.7
2020-05-17,1,26.1,11.5,40.0
2020-05-17,2,-0.6,-15.1,12.6
2020-05-17,3,1.7,-1.0,4.1
2020-05-17,4,5.2,-2.7,13.7
2020-05-17,5,34.5,18.8,54.4
2020-05-17,6,16.8,6.6,27.2
2020-05-17,7,33.9,23.1,43.6
2020-05-17,8,33.0,23.5,44.2
2020-05-17,9,14.3,6.1,22.4
2020-05-17,10,6.2,1.3,11.6
2020-05-17,11,0.3,-0.3,1.0
2020-05-17,12,-1.2,-4.6,2.3
2020-05-17,13,404.7,305.4,504.9
2020-05-17,14,5.2,1.9,8.7
2020-05-17,15,7.9,2.7,13.3
2020-05-17,16,0.2,-6.5,7.0
2020-05-24,1,-5.4,-20.4,8.4
2020-05-24,2,29.7,15.6,44.9
2020-05-24,3,5.8,1.4,9.9
2020-05-24,4,27.5,18.1,37.4
2020-05-24,5,45.4,24.4,66.3
2020-05-24,6,4.3,-8.0,17.2
2020-05-24,7,34.2,20.9,47.4
2020-05-24,8,25.6,12.1,38.4
2020-05-24,9,0.1,-9.0,9.9
2020-05-24,10,3.4,-2.6,10.2
2020-05-24,11,0.2,-0.6,1.1
2020-05-24,12,-2.7,-5.7,0.9
2020-05-24,13,-305.0,-380.1,-225.3
2020-05-24,14,-1.4,-5.5,2.6
2020-05-24,15,7.7,0.8,14.3
2020-05-24,16,4.5,-2.1,11.6
2020-05-31,1,-4.7,-20.2,9.5
2020-05-31,2,65.6,46.8,84.2
2020-05-31,3,11.1,5.4,17.0
2020-05-31,4,5.2,-6.4,16.6
2020-05-31,5,61.2,36.6,84.2
2020-05-31,6,32.2,19.3,43.9
2020-05-31,7,28.6,14.2,44.0
2020-05-31,8,6.9,-8.3,22.2
2020-05-31,9,1.8,-7.3,11.6
2020-05-31,10,0.7,-5.2,7.3
2020-05-31,11,-0.1,-1.0,0.7
2020-05-31,12,1.1,-1.6,3.9
2020-05-31,13,-357.3,-441.3,-260.4
2020-05-31,14,0.7,-3.1,4.9
2020-05-31,15,10.1,2.4,17.6
2020-05-31,16,9.3,1.6,16.7
2020-06-07,1,-6.0,-18.9,8.2
2020-06-07,2,40.7,18.6,62.7
2020-06-07,3,7.6,0.2,14.6
2020-06-07,4,5.9,-5.1,16.2
2020-06-07,5,-23.0,-45.5,0.4
2020-06-07,6,54.7,37.6,68.3
2020-06-07,7,11.4,-3.7,27.5
2020-06-07,8,56.0,39.2,70.4
2020-06-07,9,-2.5,-10.7,5.8
2020-06-07,10,5.3,-1.1,13.3
2020-06-07,11,0.2,-0.9,1.3
2020-06-07,12,9.5,5.1,13.9
2020-06-07,13,-799.2,-886.3,-715.9
2020-06-07,14,3.5,-0.8,8.6
2020-06-07,15,0.8,-7.2,9.6
2020-06-07,16,2.7,-6.8,12.2
2020-06-14,1,-16.9,-31.3,-2.6
2020-06-14,2,12.8,-10.2,35.4
2020-06-14,3,5.6,-2.1,13.7
2020-06-14,4,0.2,-11.7,11.3
2020-06-14,5,4.4,-19.7,28.4
2020-06-14,6,84.2,62.5,102.8
2020-06-14,7,12.9,-4.9,30.6
2020-06-14,8,44.6,26.9,64.3
2020-06-14,9,-10.3,-17.6,-3.1
2020-06-14,10,6.8,-1.6,15.4
2020-06-14,11,0.3,-0.9,1.6
2020-06-14,12,-0.8,-5.9,4.3
2020-06-14,13,-516.6,-600.4,-439.8
2020-06-14,14,-3.9,-8.5,0.3
2020-06-14,15,2.2,-6.3,10.9
2020-06-14,16,0.2,-9.0,9.0
2020-06-21,1,-11.0,-23.9,3.0
2020-06-21,2,-3.7,-25.7,17.1
2020-06-21,3,-1.4,-10.8,6.9
2020-06-21,4,9.4,-2.7,20.6
2020-06-21,5,-30.2,-53.7,-5.1
2020-06-21,6,-18.8,-40.3,2.6
2020-06-21,7,-21.8,-35.8,-3.3
2020-06-21,8,-33.5,-52.3,-14.1
2020-06-21,9,1.5,-5.2,10.1
2020-06-21,10,2.9,-5.5,11.4
2020-06-21,11,0.3,-1.1,1.6
2020-06-21,12,-2.3,-7.3,2.0
2020-06-21,13,-677.4,-745.0,-611.0
2020-06-21,14,-1.3,-5.8,3.1
2020-06-21,15,7.9,-1.2,16.7
2020-06-21,16,-10.0,-18.3,-2.3
2020-06-28,1,2.8,-9.2,14.9
2020-06-28,2,-1.9,-23.4,18.4
2020-06-28,3,6.8,-0.4,16.3
2020-06-28,4,1.8,-9.1,14.7
2020-06-28,5,-19.1,-40.9,3.6
2020-06-28,6,-40.4,-59.7,-23.0
2020-06-28,7,-14.6,-30.5,1.3
2020-06-28,8,-33.1,-51.4,-14.7
2020-06-28,9,-4.1,-11.4,3.6
2020-06-28,10,12.5,4.8,20.7
2020-06-28,11,-0.3,-1.6,0.7
2020-06-28,12,-4.1,-8.0,0.1
2020-06-28,13,-430.9,-484.9,-377.0
2020-06-28,14,-2.4,-5.9,1.0
2020-06-28,15,12.1,3.4,21.4
2020-06-28,16,9.4,1.6,18.0
2020-07-05,1,-13.5,-25.0,-0.1
2020-07-05,2,-53.6,-73.6,-33.7
2020-07-05,3,4.4,-6.0,13.5
2020-07-05,4,24.5,11.4,38.9
2020-07-05,5,-32.9,-52.7,-14.0
2020-07-05,6,-35.2,-52.2,-17.9
2020-07-05,7,-9.2,-24.0,6.6
2020-07-05,8,-0.6,-16.7,14.3
2020-07-05,9,-5.8,-12.2,0.6
2020-07-05,10,10.2,-1.0,20.3
2020-07-05,11,0.4,-0.6,1.9
2020-07-05,12,2.6,-1.1,6.4
2020-07-05,13,-290.3,-331.2,-243.4
2020-07-05,14,1.8,-1.4,6.1
2020-07-05,15,29.7,17.2,42.9
2020-07-05,16,7.4,-0.7,16.9
2020-07-12,1,-0.7,-13.2,10.3
2020-07-12,2,-33.9,-52.3,-14.8
2020-07-12,3,9.9,0.1,20.0
2020-07-12,4,5.3,-8.1,18.9
2020-07-12,5,-1.2,-20.1,17.6
2020-07-12,6,-26.9,-41.2,-10.8
2020-07-12,7,-1.8,-17.4,15.4
2020-07-12,8,22.5,5.9,38.3
2020-07-12,9,3.6,-2.9,9.7
2020-07-12,10,9.3,-2.7,23.4
2020-07-12,11,-0.2,-1.4,1.1
2020-07-12,12,-0.7,-5.4,3.3
2020-07-12,13,-266.2,-314.2,-213.1
2020-07-12,14,0.4,-3.2,4.0
2020-07-12,15,16.1,4.7,29.6
2020-07-12,16,-14.0,-23.3,-4.4
2020-07-19,1,13.3,1.9,25.0
2020-07-19,2,-19.3,-35.7,-6.0
2020-07-19,3,35.0,22.3,47.4
2020-07-19,4,8.1,-7.3,22.7
2020-07-19,5,-12.0,-28.1,5.6
2020-07-19,6,-30.5,-42.6,-16.6
2020-07-19,7,-4.2,-17.1,10.0
2020-07-19,8,5.6,-12.6,25.9
2020-07-19,9,12.5,3.7,21.0
2020-07-19,10,30.5,17.0,44.3
2020-07-19,11,-0.1,-1.4,1.1
2020-07-19,12,5.9,1.4,10.0
2020-07-19,13,-122.6,-158.6,-85.0
2020-07-19,14,-2.0,-6.1,1.6
2020-07-19,15,-1.2,-13.6,12.9
2020-07-19,16,-5.4,-11.9,3.3
2020-07-26,1,-11.1,-21.3,3.5
2020-07-26,2,0.7,-16.7,17.8
2020-07-26,3,21.1,6.0,37.3
2020-07-26,4,0.1,-16.7,17.0
2020-07-26,5,-15.9,-33.3,0.1
2020-07-26,6,11.2,-1.8,25.2
2020-07-26,7,-21.3,-35.8,-8.8
2020-07-26,8,-15.8,-33.7,2.3
2020-07-26,9,-3.6,-11.4,4.7
2020-07-26,10,7.7,-5.6,21.9
2020-07-26,11,0.1,-1.1,1.3
2020-07-26,12,8.7,3.0,14.4
2020-07-26,13,-79.9,-121.4,-39.6
2020-07-26,14,0.3,-3.4,3.4
2020-07-26,15,-19.8,-34.2,-7.4
2020-07-26,16,-2.1,-9.5,4.4
2020-08-02,1,-8.5,-20.9,3.9
2020-08-02,2,-14.3,-29.4,0.7
2020-08-02,3,4.9,-11.8,19.4
2020-08-02,4,-5.4,-21.4,9.6
2020-08-02,5,21.7,6.4,39.2
2020-08-02,6,-2.1,-16.6,13.9
2020-08-02,7,14.7,0.5,29.3
2020-08-02,8,24.9,8.6,41.6
2020-08-02,9,-1.7,-10.0,5.3
2020-08-02,10,-15.2,-32.5,-1.0
2020-08-02,11,0.1,-1.4,1.6
2020-08-02,12,13.4,6.5,20.1
2020-08-02,13,-82.5,-115.8,-48.6
2020-08-02,14,0.8,-2.9,4.4
2020-08-02,15,0.2,-12.3,13.1
2020-08-02,16,3.7,-3.6,11.0
2020-08-09,1,0.7,-11.3,12.6
2020-08-09,2,-17.7,-34.3,-0.1
2020-08-09,3,-27.6,-41.0,-11.4
2020-08-09,4,-3.9,-18.9,15.1
2020-08-09,5,6.6,-12.0,25.0
2020-08-09,6,-16.6,-32.1,-3.8
2020-08-09,7,-13.2,-25.4,-1.4
2020-08-09,8,8.9,-10.7,25.3
2020-08-09,9,6.0,-2.0,13.7
2020-08-09,10,-9.6,-20.8,6.9
2020-08-09,11,-0.1,-1.5,1.3
2020-08-09,12,16.7,6.2,25.6
2020-08-09,13,-63.9,-97.7,-35.1
2020-08-09,14,-0.8,-4.1,2.9
