Domingo_semana,Indicador,Estimado,Inferior,Superior
2020-03-08,A2,2.597588831147156,1.6638864932752213,3.5312911690190916
2020-03-08,B1,0.05676605155182683,0.0,0.0
2020-03-08,B2,0.06555568793210668,0.0,0.0
2020-03-08,C2,0.0350154244347025,0.0201402366636748,0.0530481970237295
2020-03-08,C3,0.0607709750566893,0.0,0.0
2020-03-08,C4,0.13036048299494082,0.0,0.0
2020-03-08,C5,0.015220471441267319,0.0,0.0
2020-03-15,A2,2.3548830474405027,1.6514992547861185,3.0582668400948885
2020-03-15,B1,0.511892935644022,0.0,0.0
2020-03-15,B2,0.08746245280998968,0.0,0.0
2020-03-15,C2,0.0350154244347025,0.0201402366636748,0.0530481970237295
2020-03-15,C3,0.135110214735449,0.0,0.0
2020-03-15,C4,0.23273180343414915,0.0,0.0
2020-03-15,C5,0.06499177026061856,0.0,0.0
2020-03-22,A2,1.4052804602268,1.20648489517446,1.6040760252791413
2020-03-22,B1,0.9616970846902942,0.0,0.0
2020-03-22,B2,0.08750405587039502,0.0,0.0
2020-03-22,C2,0.0436920721595937,0.0347441622677611,0.0535612984365644
2020-03-22,C3,0.18122622640632172,0.0,0.0
2020-03-22,C4,0.272165076051812,0.0,0.0
2020-03-22,C5,0.0975307296511302,0.0,0.0
2020-03-29,A1,2.0658654323011625,1.8215867667849874,2.3258379067863553
2020-03-29,A2,1.1111863120860601,1.0519745288961542,1.1703980952759672
2020-03-29,B1,1.0578440338784376,0.0,0.0
2020-03-29,B2,0.11447713931302397,0.0,0.0
2020-03-29,C2,0.0832076210475303,0.0725884641959597,0.0944411786280586
2020-03-29,C3,0.27176737087777486,0.0,0.0
2020-03-29,C4,0.3409843536874268,0.0,0.0
2020-03-29,C5,0.18619845848681527,0.0,0.0
2020-04-05,A1,2.0505671576088287,1.7861079845650958,2.314490386296213
2020-04-05,A2,1.0778128559811058,1.0315497542112786,1.1240759577509343
2020-04-05,B1,1.3113016642100104,0.0,0.0
2020-04-05,B2,0.09695515988159702,0.0,0.0
2020-04-05,C2,0.153573489486348,0.140281223503441,0.167716384140546
2020-04-05,C3,0.4030656137655676,0.0,0.0
2020-04-05,C4,0.365699781531372,0.0,0.0
2020-04-05,C5,0.24694185546139943,0.0,0.0
2020-04-12,A1,2.750547195516981,2.44524612583812,3.0737143006913596
2020-04-12,A2,1.1390390847812129,1.0874741900938443,1.1906039794685814
2020-04-12,B1,1.486261800595368,0.0,0.0
2020-04-12,B2,0.10219630961495187,0.0,0.0
2020-04-12,C2,0.217972169990328,0.202582347034992,0.233556324778275
2020-04-12,C3,0.49966798705362375,0.0,0.0
2020-04-12,C4,0.40856992741192,0.0,0.0
2020-04-12,C5,0.32139036030813317,0.0,0.0
2020-04-12,D1,63.696000000000005,0.0,0.0
2020-04-12,D2,23.94836559138461,0.0,0.0
2020-04-19,A1,4.4783657250515905,4.060163938771074,4.87667149481562
2020-04-19,A2,1.2885765059551029,1.1983711043806913,1.3787819075295185
2020-04-19,B1,2.175515609673047,0.0,0.0
2020-04-19,B2,0.11164183019172146,0.0,0.0
2020-04-19,C2,0.263888782150927,0.249147365286143,0.278974871147862
2020-04-19,C3,0.5320286929803724,0.0,0.0
2020-04-19,C4,0.40459421513833543,0.0,0.0
2020-04-19,C5,0.3227963793173226,0.0,0.0
2020-04-19,D1,66.3442857142857,0.0,0.0
2020-04-19,D2,24.519560925080548,0.0,0.0
2020-04-19,D4,15.000000000000002,0.0,0.0
2020-04-26,A1,10.253041355742482,9.62653341572682,10.878624241115649
2020-04-26,A2,1.5399470001691484,1.3618581665326828,1.718035833805613
2020-04-26,B1,2.221650874540052,0.0,0.0
2020-04-26,B2,0.1431071702808224,0.0,0.0
2020-04-26,C2,0.214984994896352,0.204731206517263,0.225278741653073
2020-04-26,C3,0.48225230343950287,0.0,0.0
2020-04-26,C4,0.36091993582776044,0.0,0.0
2020-04-26,C5,0.2641561157476087,0.0,0.0
2020-04-26,D1,64.33571428571427,0.0,0.0
2020-04-26,D2,24.564797496957937,0.0,0.0
2020-04-26,D4,15.931234012751828,0.0,0.0
2020-05-03,A1,18.863927178523884,18.000792463477044,19.688356432657468
2020-05-03,A2,1.5682460910730573,1.3450749535576485,1.7914172285884629
2020-05-03,B1,4.062318728751733,0.0,0.0
2020-05-03,B2,0.19723555814103017,0.0,0.0
2020-05-03,C2,0.183631943519911,0.177048626643348,0.190408853012631
2020-05-03,C3,0.30606220093379716,0.0,0.0
2020-05-03,C4,0.40989857211970515,0.0,0.0
2020-05-03,C5,0.19372396826646826,0.0,0.0
2020-05-03,D1,65.77714285714286,0.0,0.0
2020-05-03,D2,26.724070450097848,0.0,0.0
2020-05-03,D4,35.58083593393341,0.0,0.0
2020-05-10,A1,24.05392422495657,23.0702020297314,25.00215295455476
2020-05-10,A2,1.2708159953198241,1.1705627636724671,1.3710692269671785
2020-05-10,B1,5.497269363504408,0.0,0.0
2020-05-10,B2,0.2531683396393866,0.0,0.0
2020-05-10,C2,0.129483789499473,0.125330504897817,0.133707343109433
2020-05-10,C3,0.16072942057548742,0.0,0.0
2020-05-10,C4,0.4122735143455672,0.0,0.0
2020-05-10,C5,0.13661249591969254,0.0,0.0
2020-05-10,D1,72.61571428571429,0.0,0.0
2020-05-10,D2,33.89819371320489,0.0,0.0
2020-05-10,D4,46.47101914608893,0.0,0.0
2020-05-17,A1,27.08572106944833,26.08365929885117,28.11116249487825
2020-05-17,A2,1.129632935314543,1.0869656052511971,1.1723002653778916
2020-05-17,B1,5.066340734186504,0.0,0.0
