Domingo_semana,Indicador,cod_region,Valor,cod_color
2020-03-15,C3,9,0.342229199372056,4
2020-03-15,C3,13,0.09826383938045903,4
2020-03-15,C3,16,0.2158730158730157,4
2020-03-15,C4,2,0.142857142857143,4
2020-03-15,C4,4,0.133333333333333,4
2020-03-15,C4,5,0.1738689881547027,4
2020-03-15,C4,7,0.357142857142857,4
2020-03-15,C4,8,0.14147678150579085,4
2020-03-15,C4,9,0.06920376958642264,4
2020-03-15,C4,10,0.11572356215213354,4
2020-03-15,C4,12,0.1004251700680273,4
2020-03-15,C4,13,0.2828951789912636,4
2020-03-15,C4,14,0.13690476190476208,4
2020-03-15,C4,16,0.5462121212121214,3
2020-03-15,C5,2,0.0,4
2020-03-15,C5,4,0.0285714285714286,4
2020-03-15,C5,5,0.021084697615309855,4
2020-03-15,C5,7,0.142857142857143,4
2020-03-15,C5,8,0.09726248211747687,4
2020-03-15,C5,9,0.03665617262556038,4
2020-03-15,C5,10,0.11375747268604408,4
2020-03-15,C5,12,0.0,4
2020-03-15,C5,13,0.05497934398411901,4
2020-03-15,C5,14,0.0238095238095238,4
2020-03-15,C5,16,0.18603896103896114,4
2020-03-22,A2,1,2.645788277989125,4
2020-03-22,A2,2,2.1180223470206245,4
2020-03-22,A2,3,4.851280360374751,4
2020-03-22,A2,4,1.88867424667046,4
2020-03-22,A2,5,1.902240867129833,4
2020-03-22,A2,6,1.9389125332353256,4
2020-03-22,A2,7,2.0299735431921326,4
2020-03-22,A2,8,1.7375940531032943,4
2020-03-22,A2,9,2.0093677879195915,4
2020-03-22,A2,10,1.9888955414214085,4
2020-03-22,A2,11,6.455727772466486,4
2020-03-22,A2,12,2.3571090754589683,4
2020-03-22,A2,13,1.4458674270084184,4
2020-03-22,A2,14,2.3263824969690314,4
2020-03-22,A2,15,3.1663340664944877,4
2020-03-22,A2,16,1.7936083384901071,4
2020-03-22,B1,1,0.7363558632848787,4
2020-03-22,B1,2,0.46851338164245215,4
2020-03-22,B1,3,0.48752521036440466,4
2020-03-22,B1,4,0.3977670370046365,4
2020-03-22,B1,5,0.630849073586183,4
2020-03-22,B1,6,0.3593544074825285,4
2020-03-22,B1,7,0.3376002215162276,4
2020-03-22,B1,8,0.9637749753732482,4
2020-03-22,B1,9,0.9037517740195238,4
2020-03-22,B1,10,1.1805938385405315,3
2020-03-22,B1,11,0.6776916942159213,4
2020-03-22,B1,12,1.1405376225236956,3
2020-03-22,B1,13,1.1741786059601336,3
2020-03-22,B1,14,0.9205007664972923,4
2020-03-22,B1,15,1.2449214345212123,3
2020-03-22,B1,16,1.7319876219575367,3
2020-03-22,B2,1,0.053845638835805065,3
2020-03-22,B2,2,0.07091420850296523,3
2020-03-22,B2,3,0.014965986394557816,1
2020-03-22,B2,4,0.06233957766862565,3
2020-03-22,B2,5,0.07080664463101663,3
2020-03-22,B2,6,0.03252796929099893,2
2020-03-22,B2,7,0.0862141758160326,3
2020-03-22,B2,8,0.07537698798234559,3
2020-03-22,B2,9,0.2110076851136744,4
2020-03-22,B2,10,0.10583061249874279,4
2020-03-22,B2,11,0.06009070294784575,3
2020-03-22,B2,12,0.22024838593688992,4
2020-03-22,B2,13,0.08670325762406193,3
2020-03-22,B2,14,0.09158932806719632,3
2020-03-22,B2,15,0.01798604808302917,1
2020-03-22,B2,16,0.1759883347511583,4
2020-03-22,C2,1,0.0001743540439583,4
2020-03-22,C2,2,8.89836757828191e-05,4
2020-03-22,C2,3,0.0005157455087033,4
2020-03-22,C2,4,0.0008591728345939,4
2020-03-22,C2,5,0.0119496778087427,4
2020-03-22,C2,6,0.0002181083919166,4
2020-03-22,C2,7,0.0489975735350184,4
2020-03-22,C2,8,0.0586117601035609,4
2020-03-22,C2,9,0.0087994656272031,4
2020-03-22,C2,10,0.0166753425816028,4
2020-03-22,C2,11,0.0003432353888953,4
2020-03-22,C2,12,8.61743972198156e-05,4
2020-03-22,C2,13,0.0288644406362343,4
2020-03-22,C2,14,0.0029546486587089,4
2020-03-22,C2,15,0.0006874612113814,4
2020-03-22,C2,16,0.0341995313295019,4
2020-03-22,C3,2,0.0,4
2020-03-22,C3,4,0.0,4
2020-03-22,C3,5,0.0941466696568737,4
2020-03-22,C3,8,0.42702659818506156,3
2020-03-22,C3,9,0.22785160954713193,4
2020-03-22,C3,10,0.21031746031746054,4
2020-03-22,C3,12,0.008658008658008667,4
2020-03-22,C3,13,0.16979834195341725,4
2020-03-22,C3,14,0.17460317460317432,4
2020-03-22,C3,15,0.0,4
2020-03-22,C3,16,0.13783359497645184,4
2020-03-22,C4,1,0.2499999999999999,4
2020-03-22,C4,2,0.276190476190476,4
2020-03-22,C4,4,0.2230158730158728,4
2020-03-22,C4,5,0.338670852956567,4
2020-03-22,C4,6,0.11904761904761879,4
2020-03-22,C4,7,0.36507936507936506,4
2020-03-22,C4,8,0.30410260795321,4
2020-03-22,C4,9,0.21225606505286784,4
2020-03-22,C4,10,0.16034054884200197,4
2020-03-22,C4,12,0.25604530944298426,4
2020-03-22,C4,13,0.2911726711884001,4
2020-03-22,C4,14,0.18407839326206685,4
2020-03-22,C4,15,0.423611111111111,3
2020-03-22,C4,16,0.4249175427746854,3
2020-03-22,C5,1,0.0,4
2020-03-22,C5,2,0.01428571428571428,4
2020-03-22,C5,4,0.10714285714285719,4
2020-03-22,C5,5,0.06263158610097386,4
2020-03-22,C5,6,0.0714285714285715,4
2020-03-22,C5,7,0.17857142857142863,4
2020-03-22,C5,8,0.2014800013936053,4
2020-03-22,C5,9,0.0642000843662561,4
2020-03-22,C5,10,0.053972671319610095,4
2020-03-22,C5,12,0.040143010952387294,4
2020-03-22,C5,13,0.11633753208193985,4
2020-03-22,C5,14,0.05470521541950107,4
2020-03-22,C5,15,0.0,4
2020-03-22,C5,16,0.1479179550608123,4
2020-03-29,A1,1,2.483521565000665,2
2020-03-29,A1,2,2.384896235332885,2
2020-03-29,A1,3,0.8738231191354554,1
2020-03-29,A1,4,0.6877200704225352,1
2020-03-29,A1,5,1.0971624910084363,2
2020-03-29,A1,6,0.5309955068446712,1
2020-03-29,A1,7,1.1931959231018625,2
2020-03-29,A1,8,1.729207138804205,2
2020-03-29,A1,9,4.536187463215103,2
2020-03-29,A1,10,2.608840752041642,2
2020-03-29,A1,11,0.931992506780245,1
2020-03-29,A1,12,21.178838541841873,4
2020-03-29,A1,13,3.16674116857057,2
2020-03-29,A1,14,2.648859758276148,2
