Domingo_semana,region,0,0.0275,0.975
2020-05-03,8,28.7,23.3,34.0
2020-05-03,9,20.8,16.9,25.4
2020-05-03,10,10.0,7.1,12.9
2020-05-03,11,0.2,0.0,0.6
2020-05-03,12,12.2,9.3,16.1
2020-05-03,13,3275.7,3221.4,3332.8
2020-05-03,14,2.5,1.3,4.0
2020-05-03,15,7.2,5.0,9.9
2020-05-03,16,11.9,8.7,15.6
2020-05-10,1,99.3,90.1,109.3
2020-05-10,2,91.7,82.1,101.7
2020-05-10,3,4.5,2.8,6.7
2020-05-10,4,29.9,24.4,35.4
2020-05-10,5,139.9,127.8,151.9
2020-05-10,6,52.8,46.0,60.4
2020-05-10,7,35.0,29.5,41.4
2020-05-10,8,38.7,33.6,44.4
2020-05-10,9,26.5,21.1,32.3
2020-05-10,10,11.8,8.6,15.6
2020-05-10,11,0.2,0.0,0.7
2020-05-10,12,8.3,6.0,11.1
2020-05-10,13,4095.2,4023.1,4170.1
2020-05-10,14,6.0,3.9,8.3
2020-05-10,15,12.1,9.1,15.4
2020-05-10,16,24.7,19.9,30.7
2020-05-17,1,125.4,116.3,134.9
2020-05-17,2,91.0,80.9,100.9
2020-05-17,3,6.2,4.0,8.7
2020-05-17,4,35.1,29.6,40.7
2020-05-17,5,174.4,161.7,190.6
2020-05-17,6,69.5,61.9,77.3
2020-05-17,7,68.8,61.3,76.4
2020-05-17,8,71.8,62.9,82.0
2020-05-17,9,40.7,34.4,47.9
2020-05-17,10,18.0,13.4,23.1
2020-05-17,11,0.5,0.0,1.1
2020-05-17,12,7.0,4.8,9.9
2020-05-17,13,4499.8,4432.3,4566.3
2020-05-17,14,11.2,8.4,14.4
2020-05-17,15,20.0,16.1,24.4
2020-05-17,16,24.9,19.6,29.7
2020-05-24,1,120.0,109.2,130.9
2020-05-24,2,120.8,109.7,133.5
2020-05-24,3,12.0,7.9,15.6
2020-05-24,4,62.7,54.7,71.2
2020-05-24,5,219.8,207.1,235.8
2020-05-24,6,73.8,64.8,83.6
2020-05-24,7,103.0,92.9,113.6
2020-05-24,8,97.4,85.9,108.6
2020-05-24,9,40.8,34.4,47.6
