Indicador,Valor,cod_color,fecha
A1,2.55494953056047,2,2020-04-01
A1,2.28180145141073,2,2020-04-02
A1,2.30287214048908,2,2020-04-03
A1,2.19970285189207,2,2020-04-04
A1,1.94325714823127,2,2020-04-05
A1,2.5289966086469,2,2020-04-06
A1,2.28192993122219,2,2020-04-07
A1,2.34360024071978,2,2020-04-08
A1,2.52848268940108,2,2020-04-09
A1,2.49276530181706,2,2020-04-10
A1,2.11220810029237,2,2020-04-11
A1,2.16372850468514,2,2020-04-12
A1,3.14544274399986,2,2020-04-13
A1,2.9818879440198,2,2020-04-14
A1,3.49979006398809,2,2020-04-15
A1,3.32056072701072,2,2020-04-16
A1,3.20762697274326,2,2020-04-17
A1,3.14518578437696,2,2020-04-18
A1,3.16587103402094,2,2020-04-19
A1,5.18094839685461,3,2020-04-20
A1,4.18484441865712,2,2020-04-21
A1,4.55358147752811,2,2020-04-22
A1,4.94454554378052,2,2020-04-23
A1,6.00270527090996,3,2020-04-24
A1,5.951698785763,3,2020-04-25
A1,6.21366912131629,3,2020-04-26
A1,9.57020419553394,3,2020-04-27
A1,9.25697041521078,3,2020-04-28
A1,9.52330906435348,3,2020-04-29
A1,11.1629684181206,4,2020-04-30
A1,15.7371066654812,4,2020-05-01
A1,14.5958205003415,4,2020-05-02
A1,15.4548365197183,4,2020-05-03
A1,21.0353571301927,4,2020-05-04
A1,19.2413935228702,4,2020-05-05
A1,19.2361258506006,4,2020-05-06
A1,19.7762549779503,4,2020-05-07
A1,22.3818255542234,4,2020-05-08
A1,21.2407963487065,4,2020-05-09
A1,23.2085931409254,4,2020-05-10
A1,28.0200336000403,4,2020-05-11
A1,25.2697947560708,4,2020-05-12
A1,22.8746741109582,4,2020-05-13
A1,22.263238688252,4,2020-05-14
A1,28.5551520147433,4,2020-05-15
A1,25.0703940886953,4,2020-05-16
A1,24.9217429468438,4,2020-05-17
A1,31.581493973526,4,2020-05-18
A1,26.6481261733419,4,2020-05-19
A1,31.4476180099916,4,2020-05-20
A1,25.1157474621383,4,2020-05-21
A1,29.766716636748,4,2020-05-22
A1,27.1607606210406,4,2020-05-23
A1,24.618530591814,4,2020-05-24
A1,33.1994402391575,4,2020-05-25
A1,26.1852134126756,4,2020-05-26
A1,26.7753211866807,4,2020-05-27
A1,27.0841866534144,4,2020-05-28
A1,28.1694556207605,4,2020-05-29
A1,25.9124507729602,4,2020-05-30
A1,23.6253816492799,4,2020-05-31
A1,37.6498524280886,4,2020-06-01
A1,25.3624287001286,4,2020-06-02
A1,24.2885944360019,4,2020-06-03
A1,24.068123079548,4,2020-06-04
A1,27.6804614583692,4,2020-06-05
A1,24.1861960262736,4,2020-06-06
A1,21.3122311238746,4,2020-06-07
A1,28.1442735777156,4,2020-06-08
A1,22.3977570508436,4,2020-06-09
A1,23.6933474695387,4,2020-06-10
A1,21.5355290361804,4,2020-06-11
A1,24.1240117975302,4,2020-06-12
A1,22.428206766158,4,2020-06-13
A1,20.0635358363599,4,2020-06-14
A1,25.8041422919051,4,2020-06-15
A1,22.1468359790753,4,2020-06-16
A1,20.1097885684831,4,2020-06-17
A1,20.7782690274746,4,2020-06-18
A1,21.3482054710815,4,2020-06-19
A1,20.0898741977078,4,2020-06-20
A1,16.6787352036225,4,2020-06-21
A1,20.3771550561174,4,2020-06-22
A1,18.2804930130109,4,2020-06-23
A1,17.2123118605881,4,2020-06-24
A1,16.5695273638872,4,2020-06-25
A1,17.0569797685411,4,2020-06-26
A1,14.6364201207607,4,2020-06-27
A1,13.8860980218734,4,2020-06-28
A1,14.8986474159369,4,2020-06-29
A1,15.9419034849378,4,2020-06-30
A1,17.6452888251857,4,2020-07-01
A1,13.2233991543973,4,2020-07-02
A1,14.0556913729918,4,2020-07-03
A1,12.7297797187937,4,2020-07-04
A1,12.1904214703127,4,2020-07-05
A1,15.2026306498355,4,2020-07-06
A1,13.2799302714367,4,2020-07-07
A1,12.2175307105293,4,2020-07-08
A1,11.9452819900598,4,2020-07-09
A1,13.5276393479187,4,2020-07-10
A1,10.8391992932583,4,2020-07-11
A1,10.5155586482074,4,2020-07-12
A1,12.9204437589904,4,2020-07-13
A1,11.8697358609252,4,2020-07-14
A1,11.3181720303562,4,2020-07-15
A1,9.68737778357936,3,2020-07-16
A1,11.9554318951646,4,2020-07-17
A1,10.7929465611351,4,2020-07-18
A1,9.16330863266132,3,2020-07-19
A1,13.0489235704437,4,2020-07-20
A1,11.178385995495,4,2020-07-21
A1,10.6793704078103,4,2020-07-22
A1,11.3430971137781,4,2020-07-23
A1,10.6494346117417,4,2020-07-24
A1,9.71924077681978,3,2020-07-25
A1,8.32060954933907,3,2020-07-26
A1,11.8978729396335,4,2020-07-27
A1,10.1360292851743,4,2020-07-28
A1,9.75046137100293,3,2020-07-29
A1,10.2185133241273,4,2020-07-30
A1,10.3768004518378,4,2020-07-31
A1,10.5665651333543,4,2020-08-01
A1,8.86600634895836,3,2020-08-02
A1,11.5684507030672,4,2020-08-03
A1,10.7207409070983,4,2020-08-04
A1,9.84168203713478,3,2020-08-05
A1,10.1140592374158,4,2020-08-06
A1,10.1862648914525,4,2020-08-07
A1,8.40784734131587,3,2020-08-08
A1,7.2980387299822,3,2020-08-09
A1,11.2860520774929,4,2020-08-10
A1,9.99097557804352,3,2020-08-11
A1,9.45662804220922,3,2020-08-12
A1,8.96801931925229,3,2020-08-13
A1,9.54951894588996,3,2020-08-14
A1,7.85821070791862,3,2020-08-15
A1,7.2377816984106,3,2020-08-16
A1,10.8086210981324,4,2020-08-17
A1,10.5253231138778,4,2020-08-18
A1,9.90887697852486,3,2020-08-19
A1,10.4736742296736,4,2020-08-20
A1,9.780525646883,3,2020-08-21
A1,8.2126865077183,3,2020-08-22
A1,7.62681856749122,3,2020-08-23
A1,11.435731057836,4,2020-08-24
A1,10.7320471305062,4,2020-08-25
A1,10.6485352530615,4,2020-08-26
A1,10.161725247465,4,2020-08-27
A1,10.7820257771615,4,2020-08-28
A1,8.42878955058276,3,2020-08-29
A1,7.4570967365614,3,2020-08-30
A1,11.540056664736,4,2020-08-31
A1,11.2137179436446,4,2020-09-01
A1,10.494487959129,4,2020-09-02
A1,10.5212117599113,4,2020-09-03
A1,10.8551307898785,4,2020-09-04
A1,8.50060976518516,3,2020-09-05
A1,7.45182906429181,3,2020-09-06
A1,11.2602276353907,4,2020-09-07
A1,10.160311969539,4,2020-09-08
