Estimado,Indicador,Inferior,Superior,cod_region,fecha
3.74638054817342,A1,1.18995676490421,6.35635238586332,15,2020-04-01
3.93280710800841,A1,1.57669271349808,6.74308833445718,15,2020-04-02
3.95263972075681,A1,1.58660901987228,7.14965689579946,15,2020-04-03
4.34334219190036,A1,1.98326127484035,7.94296140573559,15,2020-04-04
3.99825473007814,A1,1.98326127484035,6.75300464083139,15,2020-04-05
4.62893181547737,A1,2.36008091706001,7.53639284439332,15,2020-04-06
4.48217048113919,A1,1.97334496846615,7.93304509936139,15,2020-04-07
4.29574392130419,A1,1.58660901987228,7.13974058942525,15,2020-04-08
3.43500852802348,A1,1.18004045853001,5.95970013089525,15,2020-04-09
3.18908412994328,A1,1.18004045853001,5.94978382452104,15,2020-04-10
2.70120185633255,A1,0.793304509936139,5.1564793145849,15,2020-04-11
2.68731902740867,A1,0.793304509936139,5.1564793145849,15,2020-04-12
3.44294157312284,A1,0.793304509936139,6.34643607948911,15,2020-04-13
3.05223910197929,A1,1.18995676490421,5.56304787592718,15,2020-04-14
3.2247828328904,A1,1.18995676490421,5.94978382452104,15,2020-04-15
3.24461544563881,A1,1.18995676490421,5.94978382452104,15,2020-04-16
3.72059815160049,A1,1.18995676490421,6.35635238586332,15,2020-04-17
3.65515052953076,A1,1.18004045853001,6.34643607948911,15,2020-04-18
3.84157708936575,A1,1.57669271349808,6.75300464083139,15,2020-04-19
5.2397762881282,A1,2.36999722343422,9.1230018642656,15,2020-04-20
4.30566022767839,A1,1.58660901987228,7.53639284439332,15,2020-04-21
4.0061877751775,A1,1.18995676490421,7.14965689579946,15,2020-04-22
3.03637301178057,A1,0.783388203561937,5.1564793145849,15,2020-04-23
2.91936059656499,A1,0.793304509936139,5.94978382452104,15,2020-04-24
2.82019753282297,A1,0.783388203561937,5.1564793145849,15,2020-04-25
2.58815596366665,A1,0.396652254968069,5.1564793145849,15,2020-04-26
3.45484114077189,A1,1.18995676490421,6.35635238586332,15,2020-04-27
3.49252310499385,A1,1.18995676490421,6.75300464083139,15,2020-04-28
3.46277418587125,A1,1.18995676490421,6.34643607948911,15,2020-04-29
2.89754472254175,A1,1.18004045853001,5.56304787592718,15,2020-04-30
2.61592162151442,A1,0.793304509936139,4.75982705961683,15,2020-05-01
2.30851612391416,A1,0.396652254968069,4.36317480464876,15,2020-05-02
2.25496806949348,A1,0.783388203561937,4.76974336599104,15,2020-05-03
2.89952798381659,A1,1.18995676490421,5.94978382452104,15,2020-05-04
2.9491095156876,A1,0.793304509936139,5.94978382452104,15,2020-05-05
2.97092538971084,A1,1.18004045853001,5.56304787592718,15,2020-05-06
2.7626829558526,A1,0.793304509936139,5.1564793145849,15,2020-05-07
2.90547776764111,A1,0.793304509936139,5.56304787592718,15,2020-05-08
3.04232279560509,A1,1.18995676490421,5.55313156955297,15,2020-05-09
3.47070723097061,A1,1.18995676490421,5.95970013089525,15,2020-05-10
5.14854626948554,A1,1.98326127484035,9.51965411923367,15,2020-05-11
4.63488159930189,A1,1.97334496846615,7.93304509936139,15,2020-05-12
5.09499821506485,A1,1.98326127484035,8.33961366070366,15,2020-05-13
4.95815318710087,A1,2.37991352980842,8.73626591567173,15,2020-05-14
4.98393558367379,A1,2.37991352980842,8.32969735432946,15,2020-05-15
5.82880488675578,A1,3.17321803974456,9.92622268057594,15,2020-05-16
5.88433620245131,A1,2.77656578477649,9.52957042560787,15,2020-05-17
8.39712823767403,A1,4.36317480464876,12.7127047717266,15,2020-05-18
8.87311094363571,A1,5.1564793145849,13.8828289238824,15,2020-05-19
7.79025028757288,A1,4.36317480464876,11.8995676490421,15,2020-05-20
8.42092737297212,A1,5.1465630082107,13.0895244139463,15,2020-05-21
8.10360556899766,A1,4.75982705961683,11.8995676490421,15,2020-05-22
8.33763039942882,A1,4.75982705961683,13.4960929752886,15,2020-05-23
7.41343064535322,A1,3.9665225496807,11.8995676490421,15,2020-05-24
9.54543651580659,A1,5.93986751814684,14.695966046567,15,2020-05-25
9.34711038832256,A1,5.54321526317877,13.0994407203205,15,2020-05-26
11.080480742533,A1,7.53639284439332,17.0659632700012,15,2020-05-27
11.0130498591884,A1,7.12982428305105,16.2627424536908,15,2020-05-28
13.4524612272421,A1,8.72634960929753,18.6525722898735,15,2020-05-29
13.888778707707,A1,9.1230018642656,19.8326127484035,15,2020-05-30
12.1692911824204,A1,7.93304509936139,17.0857958827496,15,2020-05-31
20.1539010749276,A1,13.8828289238824,27.3888382055452,15,2020-06-01
15.9196382531435,A1,10.3030423227956,21.0225695133077,15,2020-06-02
14.6979493078418,A1,9.1230018642656,20.6358335647138,15,2020-06-03
13.9720756812502,A1,8.72634960929753,20.2292650033715,15,2020-06-04
12.0721113799532,A1,6.73317202808298,17.4526992185951,15,2020-06-05
14.0672722224426,A1,8.71643330292333,19.8623616675261,15,2020-06-06
12.11177660545,A1,7.13974058942525,17.056046963627,15,2020-06-07
16.3896711752806,A1,10.7096108841379,23.005830788148,15,2020-06-08
15.9612867399151,A1,9.91630637420174,22.2125262782119,15,2020-06-09
17.6530086073539,A1,11.8896513426679,23.7991352980842,15,2020-06-10
14.4421086033874,A1,9.89647376145333,21.0225695133077,15,2020-06-11
14.459957954861,A1,8.71643330292333,21.8158740232438,15,2020-06-12
17.2980048391575,A1,11.1062631391059,23.4024830431161,15,2020-06-13
15.2810281226449,A1,9.91630637420174,21.42913807465,15,2020-06-14
18.4780452976875,A1,11.8995676490421,24.9990083693626,15,2020-06-15
16.3301733370354,A1,10.7096108841379,22.60917853318,15,2020-06-16
