Domingo_semana,region,0,0.0275,0.975
2020-03-01,1,0.4,0.0,1.3
2020-03-01,2,0.8,0.1,1.6
2020-03-01,3,0.2,0.0,0.7
2020-03-01,4,0.8,0.1,1.9
2020-03-01,5,1.4,0.6,2.6
2020-03-01,6,0.7,0.1,1.4
2020-03-01,7,1.0,0.3,2.1
2020-03-01,8,1.6,0.6,3.3
2020-03-01,9,1.6,0.6,2.9
2020-03-01,10,1.0,0.3,2.3
2020-03-01,11,0.1,0.0,0.4
2020-03-01,12,0.9,0.1,2.0
2020-03-01,13,10.7,7.8,13.7
2020-03-01,14,0.6,0.1,1.3
2020-03-01,15,0.5,0.0,1.3
2020-03-01,16,1.4,0.4,2.7
2020-03-08,1,0.2,-0.7,1.0
2020-03-08,2,0.6,-0.3,1.9
2020-03-08,3,0.0,-0.6,0.6
2020-03-08,4,0.5,-0.7,1.7
2020-03-08,5,1.5,-0.1,3.3
2020-03-08,6,0.4,-0.7,1.4
2020-03-08,7,0.7,-0.9,2.1
2020-03-08,8,3.5,1.3,5.6
2020-03-08,9,3.6,1.7,5.6
2020-03-08,10,1.8,0.4,3.4
2020-03-08,11,0.0,-0.4,0.4
2020-03-08,12,1.2,0.1,2.6
2020-03-08,13,38.9,32.1,46.6
2020-03-08,14,0.5,-0.3,1.3
2020-03-08,15,0.1,-0.7,0.9
2020-03-08,16,4.1,2.3,6.3
2020-03-15,1,0.6,-0.4,1.7
2020-03-15,2,2.4,0.7,4.0
2020-03-15,3,0.0,-0.5,0.6
2020-03-15,4,1.1,-0.6,2.6
2020-03-15,5,6.7,3.6,9.7
2020-03-15,6,0.9,-0.1,2.1
2020-03-15,7,1.8,-0.2,3.6
2020-03-15,8,12.9,8.6,17.9
2020-03-15,9,23.2,18.3,28.6
2020-03-15,10,9.0,5.9,12.6
2020-03-15,11,-0.0,-0.4,0.3
2020-03-15,12,7.5,4.8,11.0
2020-03-15,13,91.9,77.5,105.3
2020-03-15,14,3.5,1.6,5.6
2020-03-15,15,0.5,-0.6,1.6
2020-03-15,16,17.1,12.6,22.1
2020-03-22,1,0.9,-0.6,2.4
2020-03-22,2,1.9,-0.4,4.6
2020-03-22,3,0.2,-0.4,0.9
2020-03-22,4,0.2,-1.1,2.1
2020-03-22,5,4.5,0.6,8.9
2020-03-22,6,0.0,-1.7,1.7
2020-03-22,7,2.7,0.0,5.6
2020-03-22,8,4.5,-1.4,10.3
2020-03-22,9,12.0,4.6,19.3
2020-03-22,10,7.6,2.9,12.6
2020-03-22,11,0.0,-0.3,0.4
2020-03-22,12,8.5,3.8,13.9
