Domingo_semana,Indicador,cod_region,Valor,cod_color
2020-03-01,B2,1,0.0,1
2020-03-01,B2,2,0.0,1
2020-03-01,B2,3,0.0,1
2020-03-01,B2,4,0.0,1
2020-03-01,B2,5,0.006944444444444434,1
2020-03-01,B2,6,0.0,1
2020-03-01,B2,7,0.12962962962962962,4
2020-03-01,B2,8,0.0,1
2020-03-01,B2,9,0.2875,4
2020-03-01,B2,10,0.25,4
2020-03-01,B2,11,0.0,1
2020-03-01,B2,12,0.0,1
2020-03-01,B2,13,0.07193732193732189,3
2020-03-01,B2,14,0.0,1
2020-03-01,B2,15,0.0,1
2020-03-01,B2,16,0.0,1
2020-03-08,A2,1,5.738055273607578,4
2020-03-08,A2,2,3.7891060925164486,4
2020-03-08,A2,3,8.012519954120009,4
2020-03-08,A2,4,4.07409357511324,4
2020-03-08,A2,5,3.1790613691373153,4
2020-03-08,A2,6,4.289796506827038,4
2020-03-08,A2,7,3.4556467691790727,4
2020-03-08,A2,8,3.510008968313938,4
2020-03-08,A2,9,3.560182417447283,4
2020-03-08,A2,10,3.735665947294543,4
2020-03-08,A2,11,8.973465469816988,4
2020-03-08,A2,12,3.895975536763086,4
2020-03-08,A2,13,3.3717061917656346,4
2020-03-08,A2,14,4.086287095053196,4
2020-03-08,A2,15,4.663753000300874,4
2020-03-08,A2,16,3.977046930387034,4
2020-03-08,B1,1,0.04627882769757974,4
2020-03-08,B1,2,0.015279854667933598,4
2020-03-08,B1,3,0.009078681757251442,4
2020-03-08,B1,4,0.024262422360248396,4
2020-03-08,B1,5,0.0247063119160947,4
2020-03-08,B1,6,0.018018171253636583,4
2020-03-08,B1,7,0.05603532648717941,4
2020-03-08,B1,8,0.034261066925688324,4
2020-03-08,B1,9,0.05154638449293212,4
2020-03-08,B1,10,0.028365020961269687,4
2020-03-08,B1,11,0.033285446670723015,4
2020-03-08,B1,12,0.040847906424654766,4
2020-03-08,B1,13,0.08979261089273158,4
2020-03-08,B1,14,0.01443232559326533,4
2020-03-08,B1,15,0.042498455889435974,4
2020-03-08,B1,16,0.05082582186331368,4
2020-03-08,B2,1,0.0,1
2020-03-08,B2,2,0.125,4
2020-03-08,B2,3,0.35555555555555557,4
2020-03-08,B2,4,0.0,1
2020-03-08,B2,5,0.013729977116704801,1
2020-03-08,B2,6,0.016666666666666666,1
2020-03-08,B2,7,0.07946336429308563,3
2020-03-08,B2,8,0.03730392156862745,2
2020-03-08,B2,9,0.21068376068376068,4
2020-03-08,B2,10,0.08946608946608947,3
2020-03-08,B2,11,0.0,1
2020-03-08,B2,12,0.06666666666666667,3
2020-03-08,B2,13,0.08356764472649822,3
2020-03-08,B2,14,0.0357142857142857,2
2020-03-08,B2,15,0.0,1
2020-03-08,B2,16,0.103613777526821,4
2020-03-08,C2,1,0.0163636901996585,4
2020-03-08,C2,2,0.0124964791412152,4
2020-03-08,C2,3,0.0231100874777548,4
2020-03-08,C2,4,0.0176437633911221,4
2020-03-08,C2,5,0.0135597378381641,4
2020-03-08,C2,6,0.0175202076176602,4
2020-03-08,C2,7,0.0329517168150962,4
2020-03-08,C2,8,0.0268646234354548,4
2020-03-08,C2,9,0.010147176668456,4
2020-03-08,C2,10,0.0143036079890921,4
2020-03-08,C2,11,0.0185695795286692,4
2020-03-08,C2,12,0.0103059111205066,4
2020-03-08,C2,13,0.015726940874166,4
2020-03-08,C2,14,0.0200777361633161,4
2020-03-08,C2,15,0.0175213857927556,4
2020-03-08,C2,16,0.0568322968820595,4
2020-03-08,C3,13,0.0413703943115708,4
2020-03-08,C4,5,0.0571428571428571,4
2020-03-08,C4,8,0.11734693877551026,4
2020-03-08,C4,9,0.0052910052910053,4
2020-03-08,C4,13,0.140058440607637,4
2020-03-08,C5,5,0.0,4
2020-03-08,C5,8,0.0476190476190476,4
2020-03-08,C5,9,0.0,4
2020-03-08,C5,13,0.00507587650444794,4
2020-03-15,A2,1,3.4730987689918202,4
2020-03-15,A2,2,2.7433902675726887,4
2020-03-15,A2,3,5.681898481495282,4
2020-03-15,A2,4,2.603063302590788,4
2020-03-15,A2,5,2.7869931517461657,4
2020-03-15,A2,6,2.669766476413144,4
2020-03-15,A2,7,2.406663644525866,4
2020-03-15,A2,8,2.90455772191881,4
2020-03-15,A2,9,3.363208188851567,4
2020-03-15,A2,10,3.306195978586583,4
2020-03-15,A2,11,6.862609029938459,4
2020-03-15,A2,12,3.369147078418124,4
2020-03-15,A2,13,2.674237318182368,4
