Domingo_semana,region,0,0.0275,0.975
2020-03-01,1,0.4,0.0,1.3
2020-03-01,2,0.8,0.1,1.6
2020-03-01,3,0.2,0.0,0.7
2020-03-01,4,0.8,0.1,1.9
2020-03-01,5,1.4,0.6,2.6
2020-03-01,6,0.7,0.1,1.4
2020-03-01,7,1.0,0.3,2.1
2020-03-01,8,1.6,0.6,3.3
2020-03-01,9,1.6,0.6,2.9
2020-03-01,10,1.0,0.3,2.3
2020-03-01,11,0.1,0.0,0.4
2020-03-01,12,0.9,0.1,2.0
2020-03-01,13,10.7,7.8,13.7
2020-03-01,14,0.6,0.1,1.3
2020-03-01,15,0.5,0.0,1.3
2020-03-01,16,1.4,0.4,2.7
2020-03-08,1,0.6,0.0,1.4
2020-03-08,2,1.4,0.6,2.6
2020-03-08,3,0.2,0.0,0.7
2020-03-08,4,1.3,0.4,2.4
2020-03-08,5,2.9,1.6,4.4
2020-03-08,6,1.0,0.4,2.0
2020-03-08,7,1.8,0.7,3.1
2020-03-08,8,5.1,3.6,7.3
2020-03-08,9,5.2,3.4,7.1
2020-03-08,10,2.9,1.6,4.4
2020-03-08,11,0.1,0.0,0.6
2020-03-08,12,2.1,1.0,3.3
2020-03-08,13,49.6,42.8,56.4
2020-03-08,14,1.0,0.3,2.0
2020-03-08,15,0.6,0.0,1.4
2020-03-08,16,5.5,3.7,7.9
2020-03-15,1,1.2,0.4,2.1
2020-03-15,2,3.8,2.1,5.3
2020-03-15,3,0.2,0.0,0.7
2020-03-15,4,2.4,1.1,3.6
2020-03-15,5,9.6,6.9,12.3
2020-03-15,6,1.9,0.9,3.1
2020-03-15,7,3.6,2.1,5.3
2020-03-15,8,18.1,13.7,22.4
2020-03-15,9,28.5,24.0,33.7
2020-03-15,10,11.8,8.9,15.1
2020-03-15,11,0.1,0.0,0.6
2020-03-15,12,9.6,7.0,13.0
2020-03-15,13,141.5,128.6,154.2
2020-03-15,14,4.5,2.9,6.6
2020-03-15,15,1.1,0.3,2.0
2020-03-15,16,22.7,18.1,27.3
2020-03-22,1,2.1,0.9,3.4
2020-03-22,2,5.6,3.8,7.9
2020-03-22,3,0.4,0.0,1.0
2020-03-22,4,2.7,1.4,4.3
2020-03-22,5,14.1,10.7,17.4
2020-03-22,6,2.0,0.9,3.3
2020-03-22,7,6.2,4.2,8.7
2020-03-22,8,22.5,18.8,27.3
2020-03-22,9,40.5,35.2,46.3
2020-03-22,10,19.4,15.6,23.7
2020-03-22,11,0.1,0.0,0.6
2020-03-22,12,18.1,14.4,22.7
2020-03-22,13,158.9,147.2,170.6
