Domingo_semana,0,0.0275,0.975,region
2020-03-01,13.4,10.0,17.3,0
2020-03-08,59.7,50.8,68.6,0
2020-03-15,199.4,179.5,220.6,0
2020-03-22,68.0,43.5,96.4,0
2020-03-29,32.8,8.3,59.4,0
2020-04-05,24.1,-1.1,52.8,0
2020-04-12,139.5,100.0,170.9,0
2020-04-19,332.0,296.5,367.4,0
2020-04-26,1127.6,1078.3,1177.3,0
2020-05-03,1676.6,1588.7,1760.3,0
2020-05-10,1006.9,908.9,1095.8,0
2020-05-17,592.5,486.6,692.6,0
2020-05-24,-134.6,-229.3,-44.0,0
2020-05-31,-130.4,-224.0,-28.0,0
2020-06-07,-623.0,-715.9,-517.4,0
2020-06-14,-372.2,-462.3,-272.2,0
2020-06-21,-799.9,-887.5,-717.0,0
2020-06-28,-510.5,-594.2,-432.4,0
2020-07-05,-353.4,-419.7,-284.8,0
2020-07-12,-269.9,-333.5,-215.6,0
2020-07-19,-99.1,-159.6,-33.6,0
2020-07-26,-111.5,-170.4,-53.1,0
2020-08-02,-45.3,-105.2,17.2,0
2020-08-09,-138.6,-194.1,-85.9,0
2020-08-16,68.9,12.4,136.0,0
2020-08-23,85.6,17.5,150.2,0
2020-08-30,20.8,-43.2,85.9,0
2020-09-06,-185.6,-241.7,-120.0,0
2020-09-13,-210.5,-265.6,-158.7,0
2020-09-20,220.9,162.5,281.9,0
2020-09-27,-130.0,-183.8,-69.1,0
2020-10-04,-56.6,-110.4,-0.6,0
2020-10-11,-43.9,-101.8,11.2,0
2020-10-18,-80.0,-138.8,-32.7,0
2020-10-25,-17.1,-66.9,35.2,0
2020-11-01,24.8,-28.0,80.8,0
2020-11-08,-11.2,-63.2,36.4,0
2020-11-15,-2.0,-59.0,46.9,0
2020-11-22,46.8,-7.4,102.3,0
2020-11-29,190.2,133.8,251.9,0
2020-12-06,179.8,122.6,241.2,0
2020-12-13,260.7,196.9,321.4,0
2020-12-20,257.7,193.0,324.3,0
2020-12-27,735.0,653.4,812.1,0
2021-01-03,1004.6,917.5,1089.3,0
2021-01-10,-33.8,-122.6,52.8,0
2021-01-17,-9.1,-92.9,78.9,0
2021-01-24,-33.3,-218.6,131.3,0
2021-01-31,-3966.7,-4104.7,-3801.6,0
