Domingo_semana,Indicador,cod_region,Estimado,Inferior,Superior
2020-03-22,B1,2,0.4639707221465801,0.0,0.0
2020-03-22,B1,3,0.48570947401295433,0.0,0.0
2020-03-22,B1,4,0.3950332429358761,0.0,0.0
2020-03-22,B1,5,0.6239254758515843,0.0,0.0
2020-03-22,B1,6,0.35834538989232484,0.0,0.0
2020-03-22,B1,7,0.33684298737450896,0.0,0.0
2020-03-22,B1,8,0.9501220690043647,0.0,0.0
2020-03-22,B1,9,0.895583221285671,0.0,0.0
2020-03-22,B1,10,1.1765874796476967,0.0,0.0
2020-03-22,B1,11,0.6736974406154346,0.0,0.0
2020-03-22,B1,12,1.1341301077904167,0.0,0.0
2020-03-22,B1,13,1.1620820098578817,0.0,0.0
2020-03-22,B1,14,0.7761775105646384,0.0,0.0
2020-03-22,B1,15,1.2375550355003766,0.0,0.0
2020-03-22,B1,16,1.7272401550801948,0.0,0.0
2020-03-22,B2,1,0.045668385931447654,0.0,0.0
2020-03-22,B2,2,0.07088791900741766,0.0,0.0
2020-03-22,B2,3,0.047619047619047616,0.0,0.0
2020-03-22,B2,4,0.06046743143517334,0.0,0.0
2020-03-22,B2,5,0.0816812922371097,0.0,0.0
2020-03-22,B2,6,0.04806806023505467,0.0,0.0
2020-03-22,B2,7,0.06940033093925438,0.0,0.0
2020-03-22,B2,8,0.0802429599939067,0.0,0.0
2020-03-22,B2,9,0.24796788978019618,0.0,0.0
2020-03-22,B2,10,0.13727316436819162,0.0,0.0
2020-03-22,B2,11,0.06632653061224489,0.0,0.0
2020-03-22,B2,12,0.31993214912693185,0.0,0.0
2020-03-22,B2,13,0.1053641272167516,0.0,0.0
2020-03-22,B2,14,0.12579646094032798,0.0,0.0
2020-03-22,B2,15,0.02085778154009032,0.0,0.0
2020-03-22,B2,16,0.19856034514774246,0.0,0.0
2020-03-22,C2,1,0.0360907857657245,0.0001743540439583,0.160006466700717
2020-03-22,C2,2,0.014124364293611,8.89836757828191e-05,0.0651134217925764
2020-03-22,C2,3,0.103395416396657,0.0005157455087033,0.38355130028344
2020-03-22,C2,4,0.0640516659885459,0.0008591728345939,0.204582807795841
2020-03-22,C2,5,0.0480341142806286,0.0119496778087427,0.103475646358795
2020-03-22,C2,6,0.0359967257752434,0.0002181083919166,0.144076088085444
2020-03-22,C2,7,0.153824600312044,0.0489975735350184,0.291649826591777
2020-03-22,C2,8,0.106579347255026,0.0586117601035609,0.163031660266602
2020-03-22,C2,9,0.0250470210731931,0.0087994656272031,0.0488343772164842
2020-03-22,C2,10,0.0518171754047816,0.0166753425816028,0.103979497724062
2020-03-22,C2,11,0.0746280101370861,0.0003432353888953,0.320761441211421
2020-03-22,C2,12,0.010053706890206,8.61743972198156e-05,0.0414491210506525
2020-03-22,C2,13,0.0403281292348394,0.0288644406362343,0.0533367843849577
2020-03-22,C2,14,0.0339150946737985,0.0029546486587089,0.100234154893445
2020-03-22,C2,15,0.106595277028724,0.0006874612113814,0.334935637282479
2020-03-22,C2,16,0.0669730548574237,0.0341995313295019,0.108980792446157
2020-03-22,C3,2,0.0,0.0,0.0
2020-03-22,C3,4,0.0,0.0,0.0
2020-03-22,C3,5,0.0941466696568737,0.0,0.0
2020-03-22,C3,8,0.42702659818506156,0.0,0.0
2020-03-22,C3,9,0.22785160954713193,0.0,0.0
2020-03-22,C3,10,0.21031746031746054,0.0,0.0
2020-03-22,C3,12,0.008658008658008667,0.0,0.0
2020-03-22,C3,13,0.1682081665385807,0.0,0.0
2020-03-22,C3,14,0.17460317460317432,0.0,0.0
2020-03-22,C3,15,0.0,0.0,0.0
2020-03-22,C3,16,0.13783359497645184,0.0,0.0
2020-03-22,C4,1,0.2499999999999999,0.0,0.0
2020-03-22,C4,2,0.276190476190476,0.0,0.0
2020-03-22,C4,4,0.2230158730158728,0.0,0.0
2020-03-22,C4,5,0.338670852956567,0.0,0.0
2020-03-22,C4,6,0.11904761904761879,0.0,0.0
2020-03-22,C4,7,0.36507936507936506,0.0,0.0
2020-03-22,C4,8,0.30410260795321,0.0,0.0
2020-03-22,C4,9,0.21225606505286784,0.0,0.0
2020-03-22,C4,10,0.16034054884200197,0.0,0.0
2020-03-22,C4,12,0.25604530944298426,0.0,0.0
2020-03-22,C4,13,0.29232643759409926,0.0,0.0
2020-03-22,C4,14,0.18407839326206685,0.0,0.0
2020-03-22,C4,15,0.423611111111111,0.0,0.0
2020-03-22,C4,16,0.4249175427746854,0.0,0.0
2020-03-22,C5,1,0.0,0.0,0.0
2020-03-22,C5,2,0.01428571428571428,0.0,0.0
2020-03-22,C5,4,0.10714285714285719,0.0,0.0
2020-03-22,C5,5,0.06263158610097386,0.0,0.0
2020-03-22,C5,6,0.0714285714285715,0.0,0.0
2020-03-22,C5,7,0.17857142857142863,0.0,0.0
2020-03-22,C5,8,0.2014800013936053,0.0,0.0
2020-03-22,C5,9,0.0642000843662561,0.0,0.0
2020-03-22,C5,10,0.053972671319610095,0.0,0.0
2020-03-22,C5,12,0.040143010952387294,0.0,0.0
2020-03-22,C5,13,0.11551288711437181,0.0,0.0
2020-03-22,C5,14,0.05470521541950107,0.0,0.0
2020-03-22,C5,15,0.0,0.0,0.0
2020-03-22,C5,16,0.1479179550608123,0.0,0.0
2020-03-29,A1,1,1.1103186483895124,0.2596186251381367,2.35289584166072
2020-03-29,A1,2,1.4004038424291825,0.5411185018804545,2.45716581822176
2020-03-29,A1,3,0.20614281765059125,0.0,0.8758090807698546
2020-03-29,A1,4,0.258941556950398,0.0,0.659314241426822
2020-03-29,A1,5,0.6929883632542075,0.293023054122857,1.135743328384785
2020-03-29,A1,6,0.18729889018155274,0.0,0.47991399134061125
2020-03-29,A1,7,0.6578313849067838,0.22030780810626702,1.19264377320686
2020-03-29,A1,8,1.118668915474944,0.6006956799799965,1.7134290158778998
2020-03-29,A1,9,3.22252926278389,2.0931036148521778,4.584864291467483
2020-03-29,A1,10,1.6950103203805076,0.840634254689043,2.7217199138472576
2020-03-29,A1,11,0.0827143349767468,0.0,0.931992506780245
2020-03-29,A1,12,14.322697659815425,8.266194593018684,21.308490597773073
2020-03-29,A1,13,2.6901607764214277,2.2517492768064127,3.1541258957459126
2020-03-29,A1,14,1.3299740042135348,0.30800694863676126,2.6503997930193326
2020-03-29,A1,15,3.898100035698702,1.58660901987228,6.6464043473087155
2020-03-29,A1,16,4.035765739877353,2.24562164867237,6.40576403916716
2020-03-29,A2,1,1.5041382544321387,0.8855315045971388,2.1227450042671316
2020-03-29,A2,2,1.32355085155921,0.9660800704614801,1.68102163265694
2020-03-29,A2,3,1.8167399389309442,-0.01334836801799014,3.6468282458798806
2020-03-29,A2,4,1.066516745028791,0.6312021461617795,1.5018313438958042
2020-03-29,A2,5,1.1006377444253057,0.8911943535740615,1.3100811352765531
2020-03-29,A2,6,1.0597959909494727,0.5583975435378185,1.5611944383611287
2020-03-29,A2,7,1.26575514676648,0.9274351799821205,1.60407511355084
2020-03-29,A2,8,1.0376742686729876,0.8736483977170896,1.201700139628887
2020-03-29,A2,9,1.0483638698311866,0.9209769245116319,1.17575081515074
2020-03-29,A2,10,1.0861224820654287,0.8997071330157725,1.2725378311150872
2020-03-29,A2,11,2.705232361539577,-1.4863102766902856,6.89677499976944
2020-03-29,A2,12,1.2126500834003842,0.9984304414093653,1.4268697253914042
2020-03-29,A2,13,1.1486819082704385,1.0729500266096699,1.2244137899312044
2020-03-29,A2,14,1.0620370264445682,0.7637892765589387,1.3602847763301986
2020-03-29,A2,15,1.8863171790794095,1.20849948682014,2.5641348713386853
2020-03-29,A2,16,0.9808679835972548,0.8386323426281841,1.1231036245663242
2020-03-29,B1,1,0.7919650997924546,0.0,0.0
2020-03-29,B1,2,0.868267417279203,0.0,0.0
2020-03-29,B1,3,0.2737222549811322,0.0,0.0
2020-03-29,B1,4,0.3560766774560405,0.0,0.0
2020-03-29,B1,5,0.6864564953914348,0.0,0.0
2020-03-29,B1,6,0.2277496846459667,0.0,0.0
2020-03-29,B1,7,0.663084696764957,0.0,0.0
2020-03-29,B1,8,1.1080320992708832,0.0,0.0
2020-03-29,B1,9,1.3090809941579356,0.0,0.0
2020-03-29,B1,10,1.03957000551275,0.0,0.0
2020-03-29,B1,11,0.6004694579398439,0.0,0.0
2020-03-29,B1,12,1.786895671243234,0.0,0.0
2020-03-29,B1,13,1.1925696517783828,0.0,0.0
2020-03-29,B1,14,1.3055974542785687,0.0,0.0
2020-03-29,B1,15,1.8297001875598522,0.0,0.0
2020-03-29,B1,16,1.8557010235259326,0.0,0.0
