Domingo_semana,Indicador,Valor,cod_color
2020-03-08,A2,3.5482162035897256,4
2020-03-08,B1,0.05670731792373389,4
2020-03-08,B2,0.06555568793210668,3
2020-03-08,C2,0.0201402366636748,4
2020-03-08,C3,0.0627551020408163,4
2020-03-08,C4,0.13042620938808921,4
2020-03-08,C5,0.015332706766917281,4
2020-03-15,A2,3.0798624082383816,4
2020-03-15,B1,0.5102557357609312,4
2020-03-15,B2,0.08746245280998968,3
2020-03-15,C2,0.0201402366636748,4
2020-03-15,C3,0.13654553039424613,4
2020-03-15,C4,0.23281404054107244,4
2020-03-15,C5,0.06560267848131685,4
2020-03-22,A2,1.6058764030872126,4
2020-03-22,B1,0.9532908341694922,4
2020-03-22,B2,0.08750405587039502,3
2020-03-22,C2,0.0347441622677611,4
2020-03-22,C3,0.1840226761790154,4
2020-03-22,C4,0.2712311626070913,4
2020-03-22,C5,0.09795923727531929,4
2020-03-29,A1,2.3348314935880876,2
2020-03-29,A2,1.1665872236794388,4
2020-03-29,B1,1.0545182421876749,3
2020-03-29,B2,0.11447713931302397,4
2020-03-29,C2,0.0725884641959597,4
2020-03-29,C3,0.2716437564749109,4
2020-03-29,C4,0.3408545165844829,4
2020-03-29,C5,0.18613073147687673,4
2020-04-05,A1,2.31874857433295,2
2020-04-05,A2,1.1241746431964443,4
2020-04-05,B1,1.3111107799187083,3
2020-04-05,B2,0.09695515988159702,3
2020-04-05,C2,0.140281223503441,4
2020-04-05,C3,0.4025001092850043,3
2020-04-05,C4,0.3653626861080749,4
2020-04-05,C5,0.24648113605658045,4
2020-04-12,A1,3.0663175344034044,2
2020-04-12,A2,1.1904244362000829,4
2020-04-12,B1,1.485821298384671,3
2020-04-12,B2,0.10219630961495187,4
2020-04-12,C2,0.202582347034992,3
2020-04-12,C3,0.49974215209210826,3
2020-04-12,C4,0.4088768252321372,3
2020-04-12,C5,0.3213153916708964,4
2020-04-12,D1,63.696000000000005,1
2020-04-12,D2,23.94836559138461,1
2020-04-19,A1,4.854884989644894,2
2020-04-19,A2,1.3785564097871685,4
2020-04-19,B1,2.171499697852192,3
2020-04-19,B2,0.11164183019172146,4
2020-04-19,C2,0.249147365286143,3
2020-04-19,C3,0.533049017634797,3
2020-04-19,C4,0.40370887639068875,3
2020-04-19,C5,0.3223276261806335,4
2020-04-19,D1,66.3442857142857,1
2020-04-19,D2,24.519560925080548,1
2020-04-19,D4,15.000000000000002,3
2020-04-26,A1,10.865721197193968,4
2020-04-26,A2,1.7189430128779573,4
2020-04-26,B1,2.2187876101705206,3
2020-04-26,B2,0.1431071702808224,4
2020-04-26,C2,0.204731206517263,3
2020-04-26,C3,0.48159433127112056,3
2020-04-26,C4,0.36004783937073975,4
2020-04-26,C5,0.26365683372427645,4
2020-04-26,D1,64.33571428571427,1
2020-04-26,D2,24.564797496957937,1
2020-04-26,D4,15.931234012751828,3
2020-05-03,A1,19.766655700608858,4
2020-05-03,A2,1.7934627219633346,4
2020-05-03,B1,4.058412942483552,3
2020-05-03,B2,0.19723555814103017,4
2020-05-03,C2,0.177048626643348,4
2020-05-03,C3,0.305555829206023,4
2020-05-03,C4,0.4095900508330126,3
2020-05-03,C5,0.19344117677293599,4
2020-05-03,D1,65.77714285714286,1
2020-05-03,D2,26.724070450097848,1
2020-05-03,D4,35.58083593393341,4
2020-05-10,A1,25.03741148566933,4
2020-05-10,A2,1.3718113697511298,4
2020-05-10,B1,5.495668872138873,2
2020-05-10,B2,0.2531683396393866,4
2020-05-10,C2,0.125330504897817,4
2020-05-10,C3,0.16068981360383514,4
2020-05-10,C4,0.4122959840185994,3
2020-05-10,C5,0.136583900587493,4
2020-05-10,D1,72.61571428571429,1
2020-05-10,D2,33.89819371320489,1
2020-05-10,D4,46.47101914608893,4
2020-05-17,A1,28.09174368909003,4
2020-05-17,A2,1.1713514345872384,4
2020-05-17,B1,5.066105799674132,2
2020-05-17,B2,0.31926542121166557,4
2020-05-17,C2,0.0752933764722891,4
2020-05-17,C3,0.16718176262597442,4
2020-05-17,C4,0.37133958450857624,4
2020-05-17,C5,0.12638339702877502,4
2020-05-17,D1,80.35428571428572,3
2020-05-17,D2,42.04609596023546,1
2020-05-17,D4,50.74369856106413,4
2020-05-24,A1,27.42065692535184,4
2020-05-24,A2,1.0542432481922528,4
2020-05-24,B1,5.474576157949996,2
2020-05-24,B2,0.3590226329956806,4
2020-05-24,C2,0.0882924643931198,4
2020-05-24,C3,0.20207395143789145,4
2020-05-24,C4,0.35302046100288187,4
2020-05-24,C5,0.14086163552305228,4
2020-05-24,D1,86.15285714285713,4
2020-05-24,D2,51.051549051821304,2
2020-05-24,D4,39.97490725904492,4
2020-05-31,A1,26.694433968241395,4
2020-05-31,A2,1.0090129991617371,4
2020-05-31,B1,5.850552136483443,2
2020-05-31,B2,0.34500937900191914,4
2020-05-31,C2,0.0979146722583043,4
2020-05-31,C3,0.23203886205227855,4
2020-05-31,C4,0.36628448369815586,4
2020-05-31,C5,0.17511331922618742,4
2020-05-31,D1,88.27571428571427,4
2020-05-31,D2,54.33956664811523,2
2020-05-31,D4,22.31311272858651,4
2020-06-07,A1,23.376479545977304,4
2020-06-07,A2,0.9540271105095435,3
2020-06-07,B1,6.073776631754176,2
2020-06-07,B2,0.32195369950517044,4
2020-06-07,C2,0.12568317631384,4
2020-06-07,C3,0.32192382002129183,4
2020-06-07,C4,0.3748942673510417,4
2020-06-07,C5,0.22255435273507077,4
2020-06-07,D1,88.96000000000001,4
2020-06-07,D2,55.869472119521596,2
