Domingo_semana,region,0,0.0275,0.975
2020-05-03,2,14.7,2.2,26.7
2020-05-03,3,0.8,-3.0,3.9
2020-05-03,4,17.6,12.3,23.6
2020-05-03,5,35.9,23.1,48.0
2020-05-03,6,19.5,13.5,26.0
2020-05-03,7,9.3,4.4,14.2
2020-05-03,8,15.1,8.6,21.7
2020-05-03,9,5.6,0.1,11.4
2020-05-03,10,3.2,-0.5,7.0
2020-05-03,11,0.0,-0.3,0.4
2020-05-03,12,-2.7,-7.2,1.7
2020-05-03,13,1524.4,1456.4,1601.6
2020-05-03,14,0.6,-1.1,2.4
2020-05-03,15,-0.4,-3.9,3.0
2020-05-03,16,5.5,2.0,9.9
2020-05-10,1,40.8,28.7,53.1
2020-05-10,2,19.4,7.0,31.4
2020-05-10,3,-2.4,-5.8,0.3
2020-05-10,4,3.7,-4.2,11.2
2020-05-10,5,49.2,35.1,65.9
2020-05-10,6,23.3,13.6,31.3
2020-05-10,7,17.6,11.4,24.6
2020-05-10,8,9.0,1.6,16.6
2020-05-10,9,5.5,-0.4,12.0
2020-05-10,10,2.0,-2.9,6.7
2020-05-10,11,0.1,-0.3,0.6
2020-05-10,12,-4.4,-8.0,-0.1
2020-05-10,13,818.2,718.7,911.7
2020-05-10,14,3.4,1.1,6.1
2020-05-10,15,5.2,1.3,9.6
2020-05-10,16,12.5,6.6,18.6
2020-05-17,1,26.9,13.3,44.0
2020-05-17,2,-0.8,-12.9,13.1
2020-05-17,3,1.4,-1.7,3.9
2020-05-17,4,5.6,-2.8,13.6
2020-05-17,5,34.3,18.2,50.0
2020-05-17,6,15.9,5.4,26.5
2020-05-17,7,35.4,25.8,46.3
2020-05-17,8,33.6,24.3,43.3
2020-05-17,9,13.8,6.6,21.4
2020-05-17,10,6.4,1.4,12.4
2020-05-17,11,0.2,-0.3,1.0
2020-05-17,12,-0.9,-4.0,2.3
2020-05-17,13,408.4,321.7,525.5
2020-05-17,14,5.7,2.7,8.9
2020-05-17,15,7.8,3.0,13.4
2020-05-17,16,0.5,-6.0,6.5
2020-05-24,1,-6.8,-22.2,9.3
2020-05-24,2,30.9,18.5,45.4
2020-05-24,3,6.0,2.1,10.0
2020-05-24,4,27.8,18.2,36.9
2020-05-24,5,46.6,25.6,66.9
2020-05-24,6,3.8,-8.5,16.1
2020-05-24,7,33.8,18.9,48.6
2020-05-24,8,25.8,13.6,39.0
2020-05-24,9,0.1,-9.2,7.7
2020-05-24,10,2.5,-3.9,8.0
2020-05-24,11,0.2,-0.6,1.0
2020-05-24,12,-2.8,-5.6,0.1
2020-05-24,13,-307.3,-403.5,-204.3
2020-05-24,14,-2.0,-6.3,2.1
2020-05-24,15,7.2,1.1,13.4
2020-05-24,16,4.7,-2.6,10.9
2020-05-31,1,-4.4,-17.3,9.4
2020-05-31,2,62.8,45.4,76.4
2020-05-31,3,11.5,6.6,16.9
2020-05-31,4,4.9,-6.1,15.7
2020-05-31,5,60.6,40.0,83.7
2020-05-31,6,32.1,18.8,44.3
2020-05-31,7,26.1,13.6,41.0
2020-05-31,8,6.3,-8.6,21.2
2020-05-31,9,2.4,-6.4,12.0
2020-05-31,10,1.0,-5.5,7.7
2020-05-31,11,-0.1,-1.0,0.9
2020-05-31,12,0.8,-2.1,3.6
2020-05-31,13,-363.8,-446.5,-285.0
2020-05-31,14,1.1,-3.2,5.4
2020-05-31,15,9.8,2.8,17.3
2020-05-31,16,9.2,1.5,17.1
2020-06-07,1,-5.9,-18.9,10.7
2020-06-07,2,41.9,19.6,60.5
2020-06-07,3,7.1,1.1,14.3
2020-06-07,4,6.0,-5.7,19.0
2020-06-07,5,-23.7,-48.1,1.2
2020-06-07,6,55.9,41.0,73.6
2020-06-07,7,13.6,-1.6,31.6
2020-06-07,8,57.0,42.2,72.8
2020-06-07,9,-2.3,-9.6,6.1
2020-06-07,10,5.5,-0.8,11.9
2020-06-07,11,0.1,-0.9,0.9
2020-06-07,12,9.9,5.3,13.9
2020-06-07,13,-797.4,-888.9,-714.3
2020-06-07,14,3.4,-1.4,8.3
2020-06-07,15,1.9,-6.2,9.4
2020-06-07,16,2.5,-6.7,11.6
2020-06-14,1,-16.3,-30.8,-4.4
2020-06-14,2,14.1,-9.5,36.6
2020-06-14,3,5.5,-1.2,13.1
2020-06-14,4,0.4,-13.2,12.7
2020-06-14,5,1.8,-21.4,26.4
2020-06-14,6,82.5,63.3,105.7
2020-06-14,7,12.5,-4.8,29.7
2020-06-14,8,45.0,23.8,63.2
2020-06-14,9,-10.6,-18.2,-3.1
2020-06-14,10,6.0,-0.1,13.4
2020-06-14,11,0.3,-0.7,1.4
2020-06-14,12,-0.9,-5.4,4.0
2020-06-14,13,-509.0,-591.3,-432.7
2020-06-14,14,-4.2,-8.4,0.4
2020-06-14,15,2.1,-6.9,11.2
2020-06-14,16,-0.1,-10.3,9.3
2020-06-21,1,-10.8,-21.4,1.0
2020-06-21,2,-4.9,-25.5,17.0
2020-06-21,3,-0.7,-8.5,6.4
2020-06-21,4,9.6,-3.3,21.5
2020-06-21,5,-25.4,-47.5,-2.7
2020-06-21,6,-17.0,-38.1,3.7
2020-06-21,7,-21.9,-38.8,-2.4
2020-06-21,8,-33.6,-56.4,-11.8
2020-06-21,9,1.3,-6.0,8.6
2020-06-21,10,2.9,-5.1,10.7
2020-06-21,11,0.3,-0.7,1.6
2020-06-21,12,-2.3,-6.8,2.6
2020-06-21,13,-684.2,-752.1,-614.6
2020-06-21,14,-1.3,-5.5,2.4
2020-06-21,15,7.1,-1.2,18.0
2020-06-21,16,-9.5,-17.7,-1.1
2020-06-28,1,1.5,-11.2,13.9
2020-06-28,2,-1.2,-20.8,18.6
2020-06-28,3,6.5,-1.4,14.7
2020-06-28,4,0.9,-11.1,14.0
2020-06-28,5,-21.3,-42.8,0.7
2020-06-28,6,-40.3,-60.1,-21.6
2020-06-28,7,-14.6,-28.9,3.9
2020-06-28,8,-33.7,-51.2,-14.6
2020-06-28,9,-3.5,-11.2,3.1
2020-06-28,10,13.6,3.6,23.0
2020-06-28,11,-0.3,-1.6,1.0
2020-06-28,12,-3.9,-7.5,-0.6
2020-06-28,13,-429.0,-488.8,-363.3
2020-06-28,14,-2.2,-5.5,1.1
2020-06-28,15,11.9,0.7,22.2
2020-06-28,16,8.9,0.7,17.3
2020-07-05,1,-12.5,-23.7,-0.6
2020-07-05,2,-54.0,-72.6,-35.5
2020-07-05,3,3.6,-4.5,11.4
2020-07-05,4,24.3,11.3,38.4
2020-07-05,5,-32.2,-54.7,-12.0
2020-07-05,6,-37.3,-54.8,-19.1
2020-07-05,7,-9.8,-25.1,3.6
2020-07-05,8,-0.9,-17.5,14.4
2020-07-05,9,-5.3,-11.4,1.7
2020-07-05,10,9.7,-1.3,21.0
2020-07-05,11,0.5,-0.6,1.9
2020-07-05,12,2.5,-1.4,6.1
2020-07-05,13,-288.5,-348.1,-236.5
2020-07-05,14,1.8,-1.6,5.2
2020-07-05,15,30.8,18.8,42.4
2020-07-05,16,7.3,-1.0,16.1
2020-07-12,1,0.0,-10.9,11.7
2020-07-12,2,-34.5,-52.3,-15.9
2020-07-12,3,10.2,0.1,20.2
2020-07-12,4,6.5,-7.5,22.3
2020-07-12,5,-1.4,-20.7,15.4
2020-07-12,6,-25.0,-42.9,-7.0
2020-07-12,7,-1.0,-15.4,13.6
2020-07-12,8,22.9,5.0,37.0
2020-07-12,9,3.0,-4.1,9.4
2020-07-12,10,9.6,-0.2,20.4
2020-07-12,11,-0.3,-1.8,1.0
2020-07-12,12,-0.9,-4.4,3.4
2020-07-12,13,-268.8,-305.4,-227.5
2020-07-12,14,0.4,-3.2,4.4
2020-07-12,15,16.8,3.9,32.0
2020-07-12,16,-13.8,-22.5,-4.3
2020-07-19,1,11.5,-1.3,23.2
2020-07-19,2,-18.2,-35.4,-2.0
2020-07-19,3,35.2,23.9,49.0
2020-07-19,4,7.3,-7.3,20.3
2020-07-19,5,-11.4,-29.9,8.3
2020-07-19,6,-31.4,-46.1,-18.0
2020-07-19,7,-3.8,-19.4,11.0
2020-07-19,8,6.2,-9.2,26.6
2020-07-19,9,12.3,3.9,20.3
2020-07-19,10,30.7,16.8,42.0
2020-07-19,11,-0.2,-1.3,1.0
2020-07-19,12,5.8,1.5,10.1
2020-07-19,13,-121.7,-158.1,-83.3
2020-07-19,14,-2.1,-5.8,1.6
2020-07-19,15,-3.6,-17.2,10.6
2020-07-19,16,-5.0,-12.3,3.0
2020-07-26,1,-10.2,-21.3,2.6
2020-07-26,2,0.2,-15.1,18.0
2020-07-26,3,21.6,7.2,36.5
2020-07-26,4,-0.4,-15.6,15.8
2020-07-26,5,-16.2,-34.5,2.4
2020-07-26,6,11.1,0.1,24.3
2020-07-26,7,-21.6,-36.2,-7.4
2020-07-26,8,-16.4,-33.3,4.7
2020-07-26,9,-3.4,-11.6,3.7
2020-07-26,10,6.9,-7.2,19.9
2020-07-26,11,0.2,-0.9,1.6
2020-07-26,12,9.1,2.6,15.7
2020-07-26,13,-80.1,-119.3,-39.6
2020-07-26,14,0.3,-3.0,4.0
2020-07-26,15,-18.5,-32.6,-6.0
2020-07-26,16,-2.4,-10.3,3.7
2020-08-02,1,-8.9,-21.7,4.2
2020-08-02,2,-14.8,-29.3,1.4
2020-08-02,3,5.5,-10.4,19.7
2020-08-02,4,-3.5,-18.5,10.2
2020-08-02,5,19.9,4.6,35.9
2020-08-02,6,-2.2,-14.7,11.9
2020-08-02,7,14.3,-0.6,28.7
2020-08-02,8,25.2,5.5,46.3
2020-08-02,9,-1.7,-9.4,5.7
2020-08-02,10,-14.5,-30.1,-0.4
2020-08-02,11,0.0,-1.3,1.6
2020-08-02,12,12.9,5.9,20.9
2020-08-02,13,-82.4,-118.1,-42.3
2020-08-02,14,0.5,-2.6,4.7
2020-08-02,15,0.5,-13.4,14.9
2020-08-02,16,3.7,-3.6,11.6
2020-08-09,1,1.3,-11.0,14.2
2020-08-09,2,-17.1,-32.0,-4.1
2020-08-09,3,-27.9,-43.8,-13.0
2020-08-09,4,-6.1,-20.5,9.6
2020-08-09,5,6.3,-13.3,23.9
2020-08-09,6,-15.8,-28.9,-3.9
2020-08-09,7,-12.9,-27.1,2.7
2020-08-09,8,9.3,-14.4,29.2
2020-08-09,9,6.1,-1.8,13.3
2020-08-09,10,-9.9,-23.4,4.5
2020-08-09,11,-0.2,-1.3,1.1
2020-08-09,12,16.8,6.4,26.6
2020-08-09,13,-65.3,-107.0,-30.9
2020-08-09,14,-0.4,-3.8,3.0
2020-08-09,15,-20.7,-32.5,-8.6
2020-08-09,16,1.8,-6.2,10.3
2020-08-16,1,-13.3,-23.9,-2.0
2020-08-16,2,-15.2,-28.4,0.0
2020-08-16,3,-24.6,-35.2,-12.0
2020-08-16,4,10.2,-4.4,25.7
2020-08-16,5,5.9,-13.7,24.6
2020-08-16,6,8.8,-4.1,24.9
2020-08-16,7,5.0,-7.3,20.2
2020-08-16,8,51.2,30.4,70.9
2020-08-16,9,1.0,-8.1,10.3
2020-08-16,10,-7.9,-19.9,3.2
2020-08-16,11,0.5,-0.9,2.0
2020-08-16,12,36.7,25.1,48.9
2020-08-16,13,-4.7,-32.6,27.1
2020-08-16,14,0.2,-3.4,4.3
2020-08-16,15,-5.5,-15.5,5.1
2020-08-16,16,21.4,12.4,30.6
2020-08-23,1,-6.2,-16.4,2.9
2020-08-23,2,-0.9,-15.1,13.5
2020-08-23,3,-16.2,-26.0,-5.6
2020-08-23,4,-24.8,-40.5,-10.0
2020-08-23,5,4.0,-15.4,22.6
2020-08-23,6,19.6,3.2,32.9
2020-08-23,7,9.1,-3.3,24.4
2020-08-23,8,21.6,3.3,44.6
2020-08-23,9,11.9,1.7,20.1
