Domingo_semana,region,0,0.0275,0.975
2020-05-03,8,28.9,23.9,35.0
2020-05-03,9,20.9,16.8,25.9
2020-05-03,10,10.2,7.1,13.0
2020-05-03,11,0.2,0.0,0.6
2020-05-03,12,12.5,9.4,15.6
2020-05-03,13,3277.3,3217.5,3332.6
2020-05-03,14,2.5,1.2,4.1
2020-05-03,15,7.1,4.6,9.9
2020-05-03,16,11.7,8.7,15.6
2020-05-10,1,99.2,89.2,107.7
2020-05-10,2,91.4,81.9,100.9
2020-05-10,3,4.5,2.5,6.6
2020-05-10,4,29.6,24.7,35.7
2020-05-10,5,139.7,128.6,152.7
2020-05-10,6,53.7,46.3,60.2
2020-05-10,7,34.5,29.4,41.3
2020-05-10,8,37.9,32.1,43.7
2020-05-10,9,26.4,21.4,31.6
2020-05-10,10,12.2,8.7,15.9
2020-05-10,11,0.2,0.0,0.6
2020-05-10,12,8.1,5.9,10.6
2020-05-10,13,4095.5,4030.0,4160.9
2020-05-10,14,5.9,3.9,8.0
2020-05-10,15,12.3,9.5,15.9
2020-05-10,16,24.2,19.6,29.4
2020-05-17,1,126.1,115.1,139.0
2020-05-17,2,90.6,82.2,99.1
2020-05-17,3,6.0,3.9,8.1
2020-05-17,4,35.2,29.4,41.4
2020-05-17,5,174.1,162.2,186.4
2020-05-17,6,69.6,62.0,77.7
2020-05-17,7,69.9,61.6,78.7
2020-05-17,8,71.5,64.6,80.3
2020-05-17,9,40.2,34.4,46.6
2020-05-17,10,18.6,14.9,22.7
2020-05-17,11,0.5,0.0,1.1
2020-05-17,12,7.2,4.9,9.7
2020-05-17,13,4503.9,4431.6,4579.5
2020-05-17,14,11.6,8.6,14.9
2020-05-17,15,20.1,16.1,24.6
2020-05-17,16,24.7,20.7,29.6
2020-05-24,1,119.3,109.0,129.4
2020-05-24,2,121.5,111.5,132.9
2020-05-24,3,12.0,9.3,14.9
2020-05-24,4,63.0,54.9,70.9
2020-05-24,5,220.6,206.9,236.2
2020-05-24,6,73.4,63.6,82.9
2020-05-24,7,103.7,95.1,112.4
2020-05-24,8,97.3,87.6,108.3
2020-05-24,9,40.3,34.4,47.0
2020-05-24,10,21.1,15.8,25.6
2020-05-24,11,0.6,0.1,1.4
2020-05-24,12,4.4,2.6,6.1
2020-05-24,13,4196.6,4137.6,4260.0
