Indicador,Valor,cod_color,cod_region,fecha
A1,46.4182301376383,4,15,2020-08-05
A1,45.6249256277022,4,15,2020-08-06
A1,38.0885327833089,4,15,2020-08-07
A1,38.4752687319027,4,15,2020-08-08
A1,33.7253579786601,4,15,2020-08-09
A1,35.3119669985324,4,15,2020-08-10
A1,36.521756376185,4,15,2020-08-11
A1,34.9153147435643,4,15,2020-08-12
A1,33.7253579786601,4,15,2020-08-13
A1,33.3386220300662,4,15,2020-08-14
A1,31.3652770616001,4,15,2020-08-15
A1,28.558962357701,4,15,2020-08-16
A1,36.1151878148427,4,15,2020-08-17
A1,40.061877751775,4,15,2020-08-18
A1,33.7451905914085,4,15,2020-08-19
A1,26.9822696442029,4,15,2020-08-20
A1,28.9556146126691,4,15,2020-08-21
A1,23.7991352980842,4,15,2020-08-22
A1,23.005830788148,4,15,2020-08-23
A1,32.148665265162,4,15,2020-08-24
A1,32.1288326524136,4,15,2020-08-25
A1,34.9053984371901,4,15,2020-08-26
A1,33.7253579786601,4,15,2020-08-27
A1,32.5254849073817,4,15,2020-08-28
A1,25.018840982111,4,15,2020-08-29
A1,21.8158740232438,4,15,2020-08-30
A1,28.9655309190433,4,15,2020-08-31
A1,31.3355281424775,4,15,2020-09-01
A1,28.5688786640752,4,15,2020-09-02
A1,30.9388758875094,4,15,2020-09-03
A1,27.7854904605133,4,15,2020-09-04
A1,24.2057038594264,4,15,2020-09-05
A1,24.2057038594264,4,15,2020-09-06
A1,28.558962357701,4,15,2020-09-07
A1,24.9990083693626,4,15,2020-09-08
A1,22.2224425845861,4,15,2020-09-09
A1,23.4123993494903,4,15,2020-09-10
A1,25.7823965729245,4,15,2020-09-11
A1,27.7656578477649,4,15,2020-09-12
A1,23.7991352980842,4,15,2020-09-13
A1,28.1623101027329,4,15,2020-09-14
A1,25.7923128792987,4,15,2020-09-15
A1,25.3956606243307,4,15,2020-09-16
A1,21.42913807465,4,15,2020-09-17
A1,20.6259172583396,4,15,2020-09-18
A1,21.0324858196819,4,15,2020-09-19
A1,20.6259172583396,4,15,2020-09-20
A1,31.7321803974456,4,15,2020-09-21
A1,32.1288326524136,4,15,2020-09-22
A1,32.5651501328785,4,15,2020-09-23
A1,30.1455713775733,4,15,2020-09-24
A1,38.8719209868708,4,15,2020-09-25
A1,29.4018483995082,4,15,2020-09-26
A1,24.6023561143945,4,15,2020-09-27
A1,42.4616238943319,4,15,2020-09-28
A1,31.7420967038198,4,15,2020-09-29
A1,27.7656578477649,4,15,2020-09-30
A1,28.1623101027329,4,15,2020-10-01
A1,28.9556146126691,4,15,2020-10-02
A1,28.5688786640752,4,15,2020-10-03
A1,21.8158740232438,4,15,2020-10-04
A1,30.9388758875094,4,15,2020-10-05
A1,24.5924398080203,4,15,2020-10-06
A1,24.5924398080203,4,15,2020-10-07
A1,23.8090516044584,4,15,2020-10-08
A1,24.2057038594264,4,15,2020-10-09
A1,26.1889651342668,4,15,2020-10-10
A1,22.6190948395542,4,15,2020-10-11
A1,26.5757010828607,4,15,2020-10-12
A1,27.378921899171,4,15,2020-10-13
A1,23.4024830431161,4,15,2020-10-14
A1,22.6190948395542,4,15,2020-10-15
A1,22.6190948395542,4,15,2020-10-16
A1,24.6023561143945,4,15,2020-10-17
A1,20.6358335647138,4,15,2020-10-18
A1,26.5955336956091,4,15,2020-10-19
A1,20.6259172583396,4,15,2020-10-20
A1,24.6023561143945,4,15,2020-10-21
A1,17.8493514735631,4,15,2020-10-22
A1,18.2559200349054,4,15,2020-10-23
A1,16.2627424536908,4,15,2020-10-24
A1,13.0895244139463,4,15,2020-10-25
A1,17.8493514735631,4,15,2020-10-26
A1,16.6693110150331,4,15,2020-10-27
A1,17.8493514735631,4,15,2020-10-28
A1,19.0393082384673,4,15,2020-10-29
A1,17.4526992185951,4,15,2020-10-30
A1,15.876006505097,4,15,2020-10-31
A1,13.8828289238824,4,15,2020-11-01
A1,21.4192217682758,4,15,2020-11-02
A1,18.2559200349054,4,15,2020-11-03
A1,17.8493514735631,4,15,2020-11-04
A1,16.6593947086589,4,15,2020-11-05
A1,14.6761334338186,4,15,2020-11-06
A1,13.0895244139463,4,15,2020-11-07
A1,12.2962199040102,4,15,2020-11-08
A1,15.4694379437547,4,15,2020-11-09
A1,15.4892705565031,4,15,2020-11-10
A1,11.1062631391059,4,15,2020-11-11
A1,11.9094839554163,4,15,2020-11-12
A1,11.9094839554163,4,15,2020-11-13
A1,10.7096108841379,4,15,2020-11-14
A1,9.1329181706398,3,15,2020-11-15
A1,13.0994407203205,4,15,2020-11-16
A1,11.1161794454801,4,15,2020-11-17
A1,10.3129586291698,4,15,2020-11-18
A1,10.3129586291698,4,15,2020-11-19
A1,7.93304509936139,3,15,2020-11-20
A1,8.33961366070366,3,15,2020-11-21
A1,8.33961366070366,3,15,2020-11-22
A1,9.1329181706398,3,15,2020-11-23
A1,9.1230018642656,3,15,2020-11-24
A1,8.72634960929753,3,15,2020-11-25
A1,8.32969735432946,3,15,2020-11-26
A1,8.32969735432946,3,15,2020-11-27
A1,7.13974058942525,3,15,2020-11-28
A1,6.74308833445718,3,15,2020-11-29
A1,9.1230018642656,3,15,2020-11-30
A1,9.1230018642656,3,15,2020-12-01
A1,9.1230018642656,3,15,2020-12-02
A1,9.1329181706398,3,15,2020-12-03
A1,9.1230018642656,3,15,2020-12-04
A1,9.52957042560787,3,15,2020-12-05
A1,7.93304509936139,3,15,2020-12-06
A1,12.7127047717266,4,15,2020-12-07
A1,11.9094839554163,4,15,2020-12-08
A1,13.8828289238824,4,15,2020-12-09
A1,13.515925588037,4,15,2020-12-10
A1,13.0994407203205,4,15,2020-12-11
A1,11.502915394074,4,15,2020-12-12
A1,9.52957042560787,3,15,2020-12-13
A1,13.0895244139463,4,15,2020-12-14
A1,13.8828289238824,4,15,2020-12-15
A1,12.6928721589782,4,15,2020-12-16
A1,13.5060092816628,4,15,2020-12-17
A1,13.4861766689144,4,15,2020-12-18
A1,11.1161794454801,4,15,2020-12-19
A1,11.502915394074,4,15,2020-12-20
A1,15.0827019951608,4,15,2020-12-21
A1,14.695966046567,4,15,2020-12-22
A1,12.7027884653524,4,15,2020-12-23
A1,13.8828289238824,4,15,2020-12-24
A1,13.5060092816628,4,15,2020-12-25
A1,18.2559200349054,4,15,2020-12-26
A1,15.4694379437547,4,15,2020-12-27
A1,20.6259172583396,4,15,2020-12-28
A1,22.2224425845861,4,15,2020-12-29
A1,21.4192217682758,4,15,2020-12-30
A1,17.056046963627,4,15,2020-12-31
A1,17.8592677799373,4,15,2021-01-01
A1,19.4359604934354,4,15,2021-01-02
A1,22.2224425845861,4,15,2021-01-03
A1,28.9556146126691,4,15,2021-01-04
A1,30.968624806632,4,15,2021-01-05
A1,34.1220102336282,4,15,2021-01-06
A1,39.6652254968069,4,15,2021-01-07
A1,37.7117131410892,4,15,2021-01-08
A1,39.2784895482131,4,15,2021-01-09
A1,2.35126302011897,2,1,2020-04-01
A1,2.61251446679886,2,1,2020-04-02
A1,2.61251446679886,2,1,2020-04-03
A1,2.61904575296586,2,1,2020-04-04
A1,2.35126302011897,2,1,2020-04-05
A1,3.39626880683852,2,1,2020-04-06
A1,3.13501736015863,2,1,2020-04-07
A1,2.87376591347875,2,1,2020-04-08
A1,3.13501736015863,2,1,2020-04-09
A1,2.88029719964574,2,1,2020-04-10
A1,2.87376591347875,2,1,2020-04-11
A1,2.61251446679886,2,1,2020-04-12
A1,3.92530298636529,2,1,2020-04-13
A1,3.91877170019829,2,1,2020-04-14
A1,4.70252604023795,2,1,2020-04-15
A1,4.19308571921217,2,1,2020-04-16
A1,4.44780587972506,2,1,2020-04-17
A1,4.18002314687818,2,1,2020-04-18
A1,4.44780587972506,2,1,2020-04-19
A1,6.27656600648426,3,1,2020-04-20
A1,6.27656600648426,3,1,2020-04-21
A1,5.74753182695749,3,1,2020-04-22
A1,5.74753182695749,3,1,2020-04-23
A1,6.27656600648426,3,1,2020-04-24
A1,6.53128616699715,3,1,2020-04-25
A1,7.57629195371669,3,1,2020-04-26
A1,10.9856233328892,4,1,2020-04-27
A1,13.0625723339943,4,1,2020-04-28
A1,10.7113093138753,4,1,2020-04-29
A1,11.7693776729289,4,1,2020-04-30
A1,13.5981377996881,4,1,2020-05-01
A1,14.8913324607535,4,1,2020-05-02
A1,16.9944066065266,4,1,2020-05-03
A1,21.1678984672378,4,1,2020-05-04
A1,18.294132553759,4,1,2020-05-05
A1,27.9669673670818,4,1,2020-05-06
A1,17.7650983742322,4,1,2020-05-07
A1,21.1678984672378,4,1,2020-05-08
A1,21.1613671810708,4,1,2020-05-09
A1,23.2513787545099,4,1,2020-05-10
A1,35.5367280346315,4,1,2020-05-11
A1,33.7079679078723,4,1,2020-05-12
A1,32.9242135678326,4,1,2020-05-13
A1,31.3501736015863,4,1,2020-05-14
A1,40.7552256820622,4,1,2020-05-15
A1,33.1789337283455,4,1,2020-05-16
A1,32.9242135678326,4,1,2020-05-17
A1,44.1710883474017,4,1,2020-05-18
A1,38.93299684147,4,1,2020-05-19
A1,46.5027575090197,4,1,2020-05-20
A1,37.6267396080706,4,1,2020-05-21
A1,36.8429852680309,4,1,2020-05-22
A1,43.3677401488611,4,1,2020-05-23
A1,33.9692193545522,4,1,2020-05-24
A1,44.4258085079146,4,1,2020-05-25
A1,39.4554997348298,4,1,2020-05-26
A1,42.0614829154616,4,1,2020-05-27
A1,40.5005055215493,4,1,2020-05-28
A1,35.0207564274387,4,1,2020-05-29
A1,34.7529736945918,4,1,2020-05-30
A1,29.5279447609941,4,1,2020-05-31
A1,49.9316827466932,4,1,2020-06-01
A1,39.1877170019829,4,1,2020-06-02
A1,36.3204823746712,4,1,2020-06-03
A1,35.8045107674784,4,1,2020-06-04
A1,35.7914481951444,4,1,2020-06-05
A1,36.8429852680309,4,1,2020-06-06
A1,28.7637842794555,4,1,2020-06-07
A1,47.0252604023795,4,1,2020-06-08
A1,39.4554997348298,4,1,2020-06-09
A1,38.4104939481102,4,1,2020-06-10
A1,32.9176822816656,4,1,2020-06-11
A1,32.4082419606399,4,1,2020-06-12
A1,30.0439163681869,4,1,2020-06-13
A1,26.6476475613484,4,1,2020-06-14
A1,38.6848079671241,4,1,2020-06-15
A1,31.0954534410734,4,1,2020-06-16
A1,29.795727493841,4,1,2020-06-17
A1,32.4017106744729,4,1,2020-06-18
A1,27.431401901388,4,1,2020-06-19
A1,28.4829389742746,4,1,2020-06-20
A1,21.6904013605975,4,1,2020-06-21
A1,34.7725675530928,4,1,2020-06-22
A1,29.2601620281472,4,1,2020-06-23
A1,28.4829389742746,4,1,2020-06-24
A1,23.2579100406768,4,1,2020-06-25
A1,27.1701504547081,4,1,2020-06-26
A1,26.4125212593365,4,1,2020-06-27
A1,23.5191614873567,4,1,2020-06-28
A1,27.9539047947478,4,1,2020-06-29
A1,33.4401851750254,4,1,2020-06-30
A1,33.9953444992202,4,1,2020-07-01
A1,24.3094471135634,4,1,2020-07-02
A1,31.6114250482662,4,1,2020-07-03
A1,22.4676244144702,4,1,2020-07-04
A1,22.7484697196511,4,1,2020-07-05
A1,25.0866701674361,4,1,2020-07-06
A1,30.3116991010338,4,1,2020-07-07
A1,27.1832130270421,4,1,2020-07-08
A1,24.2963845412294,4,1,2020-07-09
A1,21.1678984672378,4,1,2020-07-10
A1,19.3391383404786,4,1,2020-07-11
A1,17.2491267670395,4,1,2020-07-12
A1,22.2129042539573,4,1,2020-07-13
A1,22.7419384334841,4,1,2020-07-14
A1,23.5191614873567,4,1,2020-07-15
A1,22.99012730783,4,1,2020-07-16
A1,29.2666933143142,4,1,2020-07-17
A1,30.8407332805605,4,1,2020-07-18
A1,21.9516528072774,4,1,2020-07-19
A1,33.2050588730135,4,1,2020-07-20
A1,29.0054418676343,4,1,2020-07-21
A1,30.8407332805605,4,1,2020-07-22
