Indicador,Valor,cod_color,cod_region,fecha
A1,6.35635238586332,3,15,2020-04-01
A1,6.74308833445718,3,15,2020-04-02
A1,7.14965689579946,3,15,2020-04-03
A1,7.94296140573559,3,15,2020-04-04
A1,6.75300464083139,3,15,2020-04-05
A1,7.53639284439332,3,15,2020-04-06
A1,7.93304509936139,3,15,2020-04-07
A1,7.13974058942525,3,15,2020-04-08
A1,5.95970013089525,3,15,2020-04-09
A1,5.94978382452104,3,15,2020-04-10
A1,5.1564793145849,3,15,2020-04-11
A1,5.1564793145849,3,15,2020-04-12
A1,6.34643607948911,3,15,2020-04-13
A1,5.56304787592718,3,15,2020-04-14
A1,5.94978382452104,3,15,2020-04-15
A1,5.94978382452104,3,15,2020-04-16
A1,6.35635238586332,3,15,2020-04-17
A1,6.34643607948911,3,15,2020-04-18
A1,6.75300464083139,3,15,2020-04-19
A1,9.1230018642656,3,15,2020-04-20
A1,7.53639284439332,3,15,2020-04-21
A1,7.14965689579946,3,15,2020-04-22
A1,5.1564793145849,3,15,2020-04-23
A1,5.94978382452104,3,15,2020-04-24
A1,5.1564793145849,3,15,2020-04-25
A1,5.1564793145849,3,15,2020-04-26
A1,6.35635238586332,3,15,2020-04-27
A1,6.75300464083139,3,15,2020-04-28
A1,6.34643607948911,3,15,2020-04-29
A1,5.56304787592718,3,15,2020-04-30
A1,4.75982705961683,2,15,2020-05-01
A1,4.36317480464876,2,15,2020-05-02
A1,4.76974336599104,2,15,2020-05-03
A1,5.94978382452104,3,15,2020-05-04
A1,5.94978382452104,3,15,2020-05-05
A1,5.56304787592718,3,15,2020-05-06
A1,5.1564793145849,3,15,2020-05-07
A1,5.56304787592718,3,15,2020-05-08
A1,5.55313156955297,3,15,2020-05-09
A1,5.95970013089525,3,15,2020-05-10
A1,9.51965411923367,3,15,2020-05-11
A1,7.93304509936139,3,15,2020-05-12
A1,8.33961366070366,3,15,2020-05-13
A1,8.73626591567173,3,15,2020-05-14
A1,8.32969735432946,3,15,2020-05-15
A1,9.92622268057594,3,15,2020-05-16
A1,9.52957042560787,3,15,2020-05-17
A1,12.7127047717266,4,15,2020-05-18
A1,13.8828289238824,4,15,2020-05-19
A1,11.8995676490421,4,15,2020-05-20
A1,13.0895244139463,4,15,2020-05-21
A1,11.8995676490421,4,15,2020-05-22
A1,13.4960929752886,4,15,2020-05-23
A1,11.8995676490421,4,15,2020-05-24
