Indicador,Valor,cod_color,fecha
A1,2.54415722639839,2,2020-04-01
A1,2.29747598840804,2,2020-04-02
A1,2.21010971661979,2,2020-04-03
A1,2.17940304168245,2,2020-04-04
A1,1.94788242144359,2,2020-04-05
A1,2.49276530181706,2,2020-04-06
A1,2.24646950326107,2,2020-04-07
A1,2.31790427842911,2,2020-04-08
A1,2.54428570620984,2,2020-04-09
A1,2.50330064635624,2,2020-04-10
A1,2.11246505991528,2,2020-04-11
A1,2.19443517962249,2,2020-04-12
A1,3.13015364643692,2,2020-04-13
A1,3.01670597292365,2,2020-04-14
A1,3.45867652432303,2,2020-04-15
A1,3.33083911192699,2,2020-04-16
A1,3.29936155812093,2,2020-04-17
A1,3.06835485712788,2,2020-04-18
A1,3.1351643590836,2,2020-04-19
A1,5.12390336056934,3,2020-04-20
A1,4.27619356460042,2,2020-04-21
A1,4.56360290282147,2,2020-04-22
A1,5.01199744479351,3,2020-04-23
A1,6.03855113830543,3,2020-04-24
A1,5.93705208725732,3,2020-04-25
A1,6.10022144780302,3,2020-04-26
A1,9.51894075076407,3,2020-04-27
A1,9.30206682903089,3,2020-04-28
A1,9.37504336193637,3,2020-04-29
A1,11.3114910801606,4,2020-04-30
A1,15.6762072348524,4,2020-05-01
A1,14.5702530178623,4,2020-05-02
A1,15.2330803651499,4,2020-05-03
A1,20.8398108571608,4,2020-05-04
A1,18.9747979141046,4,2020-05-05
A1,19.3132137374726,4,2020-05-06
A1,19.837668327825,4,2020-05-07
A1,22.4431104242866,4,2020-05-08
A1,21.2816529287487,4,2020-05-09
A1,23.230306229061,4,2020-05-10
A1,27.8652154272391,4,2020-05-11
A1,25.2599018105889,4,2020-05-12
A1,22.8344599299734,4,2020-05-13
A1,22.3097483799981,4,2020-05-14
A1,28.3530532713273,4,2020-05-15
A1,25.1378459897083,4,2020-05-16
A1,24.8434987416687,4,2020-05-17
A1,31.6680893664455,4,2020-05-18
A1,26.8787474349006,4,2020-05-19
A1,31.0823499060299,4,2020-05-20
A1,24.9778886244489,4,2020-05-21
A1,29.8648752126983,4,2020-05-22
A1,27.1768205974722,4,2020-05-23
A1,24.515361303217,4,2020-05-24
A1,33.1853074598976,4,2020-05-25
A1,26.2115517740235,4,2020-05-26
A1,26.5909526572452,4,2020-05-27
A1,26.9823021629319,4,2020-05-28
A1,28.1526247654601,4,2020-05-29
A1,25.9533073530024,4,2020-05-30
A1,23.8661528159434,4,2020-05-31
A1,37.8776471337953,4,2020-06-01
A1,25.3488098401146,4,2020-06-02
A1,24.5706076221419,4,2020-06-03
A1,23.9490222943308,4,2020-06-04
A1,27.453951550777,4,2020-06-05
A1,24.0422986374459,4,2020-06-06
A1,21.5333448793857,4,2020-06-07
A1,28.4302696380107,4,2020-06-08
A1,22.4198555784135,4,2020-06-09
A1,23.9081657142886,4,2020-06-10
A1,21.456899391571,4,2020-06-11
A1,24.3502647454995,4,2020-06-12
A1,22.3864508274357,4,2020-06-13
A1,20.2536859573108,4,2020-06-14
A1,25.7228145712552,4,2020-06-15
A1,22.073345526924,4,2020-06-16
A1,20.017925503294,4,2020-06-17
A1,20.7374124474325,4,2020-06-18
A1,21.3439656373035,4,2020-06-19
A1,20.1972833200828,4,2020-06-20
A1,16.4781782179439,4,2020-06-21
A1,20.4970267202033,4,2020-06-22
A1,18.31312688512,4,2020-06-23
A1,17.2683290583817,4,2020-06-24
A1,16.6151376969531,4,2020-06-25
A1,17.139720767117,4,2020-06-26
A1,14.7137649672556,4,2020-06-27
A1,13.8936783307492,4,2020-06-28
A1,14.9713669892195,4,2020-06-29
A1,15.978520231202,4,2020-06-30
A1,17.5608775890609,4,2020-07-01
A1,13.1211292244804,4,2020-07-02
A1,13.9380038657006,4,2020-07-03
A1,12.7878525935706,4,2020-07-04
A1,12.164725508022,4,2020-07-05
A1,15.1198896512595,4,2020-07-06
A1,13.2183884417506,4,2020-07-07
A1,12.2421988343284,4,2020-07-08
A1,12.010806693901,4,2020-07-09
A1,13.6035709164876,4,2020-07-10
A1,10.8593706236564,4,2020-07-11
A1,10.4843380540242,4,2020-07-12
A1,12.9719641633832,4,2020-07-13
A1,11.8575302788372,4,2020-07-14
A1,11.3063518877025,4,2020-07-15
A1,9.73889818797213,3,2020-07-16
A1,11.9905068836913,4,2020-07-17
A1,10.7258800995564,4,2020-07-18
A1,9.11294454657162,3,2020-07-19
A1,13.1051977278602,4,2020-07-20
A1,11.0757306261438,4,2020-07-21
A1,10.6896487927266,4,2020-07-22
A1,11.2960735027862,4,2020-07-23
