Estimado,Indicador,Inferior,Superior,fecha
2.25695345587566,A1,2.00402809904868,2.51409295051831,2020-04-01
2.03679045096928,A1,1.783042823349,2.28218689084509,2020-04-02
2.00297456459477,A1,1.77803211070232,2.27152306649447,2020-04-03
1.9552828585833,A1,1.72162947347432,2.22565577380564,2020-04-04
1.72807916000927,A1,1.50051571796317,1.98385676865051,2020-04-05
2.22568146976793,A1,1.96805375184176,2.52372893637731,2020-04-06
2.00973260267721,A1,1.77276443843273,2.25096629666194,2020-04-07
2.04514163871374,A1,1.78843897543003,2.31289356578243,2020-04-08
2.20825960733486,A1,1.92154406009566,2.46771173858367,2020-04-09
2.25222539881418,A1,1.97293598467698,2.5234719767544,2020-04-10
1.83407500445825,A1,1.61344947223063,2.10719738764569,2020-04-11
1.91093162766962,A1,1.69028039947971,2.15871779203847,2020-04-12
2.82956227956076,A1,2.47696228500831,3.10432920433481,2020-04-13
2.65138647703732,A1,2.36312917206068,2.98612777779776,2020-04-14
3.12642773190478,A1,2.74381485339683,3.49516479077577,2020-04-15
2.99113849044444,A1,2.67739079087547,3.33045367249263,2020-04-16
2.95765665157971,A1,2.67160919936007,3.263387210914,2020-04-17
2.80628173772542,A1,2.4767053253854,3.11486454887398,2020-04-18
2.80664148119749,A1,2.50278672711042,3.13529283889505,2020-04-19
4.73702495232114,A1,4.31165399256153,5.21126963235759,2020-04-20
3.83730652867592,A1,3.41190987295402,4.24497297041727,2020-04-21
4.20373095094075,A1,3.79208163504436,4.64107622912781,2020-04-22
4.61412116468491,A1,4.18805641394345,5.03692252821545,2020-04-23
5.555467047241,A1,5.16463146080004,5.9924268859937,2020-04-24
5.55721437267676,A1,5.1438177313446,5.9827909001347,2020-04-25
5.69998113916368,A1,5.2057450004651,6.19285539186086,2020-04-26
8.94556104821025,A1,8.38716209167189,9.52330906435348,2020-04-27
8.735753516107,A1,8.16566289672638,9.35962578456197,2020-04-28
8.89825478163314,A1,8.40746190188151,9.45123189012818,2020-04-29
10.5564409242118,A1,9.95397339234497,11.2245102478067,2020-04-30
14.987940884897,A1,14.2250277644873,15.6985627220452,2020-05-01
13.930089509315,A1,13.3105084665626,14.6678976745668,2020-05-02
14.5817905049308,A1,13.8547489478788,15.3990762815476,2020-05-03
20.0243237979043,A1,19.1472178210749,20.9801108112678,2020-05-04
18.3058806237541,A1,17.4926548091792,19.1643056359982,2020-05-05
18.4096409194838,A1,17.594924739096,19.1383527140846,2020-05-06
18.9628235956771,A1,18.198908332738,19.7193384214765,2020-05-07
21.5595290649599,A1,20.7155708794854,22.443495863721,2020-05-08
20.2956731596937,A1,19.5126144048481,21.1798969180777,2020-05-09
22.2717440517702,A1,21.3719742362004,23.3589145203258,2020-05-10
26.8082891062996,A1,25.6702663283708,27.9834168537761,2020-05-11
24.3401148403947,A1,23.4331758513458,25.351764875778,2020-05-12
21.8773110306085,A1,21.1319739484056,22.8090209273056,2020-05-13
21.4182783602481,A1,20.5515021602595,22.2491059089921,2020-05-14
27.3210520338097,A1,26.3896247926978,28.4409334623613,2020-05-15
24.2929627495913,A1,23.3415697457796,25.3467541631313,2020-05-16
23.928002997177,A1,22.9612695038778,24.9921498835202,2020-05-17
30.6950860583473,A1,29.5192645198889,31.7095883455449,2020-05-18
25.8676627106876,A1,24.8095800714451,26.7555352957168,2020-05-19
29.9757532899825,A1,29.0446600963804,31.025690309179,2020-05-20
