Domingo_semana,Indicador,Estimado,Inferior,Superior
2020-03-08,A2,2.604783152982367,1.6613501023750072,3.5482162035897256
2020-03-08,B1,0.05670731792373389,0.0,0.0
2020-03-08,B2,0.06555568793210668,0.0,0.0
2020-03-08,C2,0.0350154244347025,0.0201402366636748,0.0530481970237295
2020-03-08,C3,0.0627551020408163,0.0,0.0
2020-03-08,C4,0.13042620938808921,0.0,0.0
2020-03-08,C5,0.015332706766917281,0.0,0.0
2020-03-15,A2,2.3664857339671386,1.6531090596958944,3.0798624082383816
2020-03-15,B1,0.5102557357609312,0.0,0.0
2020-03-15,B2,0.08746245280998968,0.0,0.0
2020-03-15,C2,0.0350154244347025,0.0201402366636748,0.0530481970237295
2020-03-15,C3,0.13654553039424613,0.0,0.0
2020-03-15,C4,0.23281404054107244,0.0,0.0
2020-03-15,C5,0.06560267848131685,0.0,0.0
2020-03-22,A2,1.40609753534358,1.2063186675999442,1.6058764030872126
2020-03-22,B1,0.9532908341694922,0.0,0.0
2020-03-22,B2,0.08750405587039502,0.0,0.0
2020-03-22,C2,0.0436920721595937,0.0347441622677611,0.0535612984365644
2020-03-22,C3,0.1840226761790154,0.0,0.0
2020-03-22,C4,0.2712311626070913,0.0,0.0
2020-03-22,C5,0.09795923727531929,0.0,0.0
2020-03-29,A1,2.059627737455102,1.8163512144682625,2.3348314935880876
2020-03-29,A2,1.1078505416588544,1.0491138596382659,1.1665872236794388
2020-03-29,B1,1.0545182421876749,0.0,0.0
2020-03-29,B2,0.11447713931302397,0.0,0.0
2020-03-29,C2,0.0832076210475303,0.0725884641959597,0.0944411786280586
2020-03-29,C3,0.2716437564749109,0.0,0.0
2020-03-29,C4,0.3408545165844829,0.0,0.0
2020-03-29,C5,0.18613073147687673,0.0,0.0
2020-04-05,A1,2.0471275695136355,1.7896503565094501,2.31874857433295
2020-04-05,A2,1.077359939890463,1.0305452365844785,1.1241746431964443
2020-04-05,B1,1.3111107799187083,0.0,0.0
2020-04-05,B2,0.09695515988159702,0.0,0.0
2020-04-05,C2,0.153573489486348,0.140281223503441,0.167716384140546
2020-04-05,C3,0.4025001092850043,0.0,0.0
2020-04-05,C4,0.3653626861080749,0.0,0.0
2020-04-05,C5,0.24648113605658045,0.0,0.0
2020-04-12,A1,2.7518283227797555,2.449559376651196,3.0663175344034044
2020-04-12,A2,1.1393247567462814,1.08822507729248,1.1904244362000829
2020-04-12,B1,1.485821298384671,0.0,0.0
2020-04-12,B2,0.10219630961495187,0.0,0.0
2020-04-12,C2,0.217972169990328,0.202582347034992,0.233556324778275
2020-04-12,C3,0.49974215209210826,0.0,0.0
2020-04-12,C4,0.4088768252321372,0.0,0.0
2020-04-12,C5,0.3213153916708964,0.0,0.0
2020-04-12,D1,63.696000000000005,0.0,0.0
2020-04-12,D2,23.94836559138461,0.0,0.0
2020-04-19,A1,4.468909610928625,4.091861743682479,4.854884989644894
2020-04-19,A2,1.2884937752116343,1.198431140636103,1.3785564097871685
2020-04-19,B1,2.171499697852192,0.0,0.0
2020-04-19,B2,0.11164183019172146,0.0,0.0
2020-04-19,C2,0.263888782150927,0.249147365286143,0.278974871147862
2020-04-19,C3,0.533049017634797,0.0,0.0
2020-04-19,C4,0.40370887639068875,0.0,0.0
2020-04-19,C5,0.3223276261806335,0.0,0.0
2020-04-19,D1,66.3442857142857,0.0,0.0
2020-04-19,D2,24.519560925080548,0.0,0.0
2020-04-19,D4,15.000000000000002,0.0,0.0
2020-04-26,A1,10.238247823166546,9.643419333803546,10.865721197193968
2020-04-26,A2,1.5409944364003714,1.3630458599227815,1.7189430128779573
2020-04-26,B1,2.2187876101705206,0.0,0.0
2020-04-26,B2,0.1431071702808224,0.0,0.0
2020-04-26,C2,0.214984994896352,0.204731206517263,0.225278741653073
2020-04-26,C3,0.48159433127112056,0.0,0.0
2020-04-26,C4,0.36004783937073975,0.0,0.0
2020-04-26,C5,0.26365683372427645,0.0,0.0
2020-04-26,D1,64.33571428571427,0.0,0.0
2020-04-26,D2,24.564797496957937,0.0,0.0
2020-04-26,D4,15.931234012751828,0.0,0.0
2020-05-03,A1,18.891649450983756,18.07670567778717,19.766655700608858
2020-05-03,A2,1.5699794516710945,1.3464961813788545,1.7934627219633346
2020-05-03,B1,4.058412942483552,0.0,0.0
2020-05-03,B2,0.19723555814103017,0.0,0.0
2020-05-03,C2,0.183631943519911,0.177048626643348,0.190408853012631
2020-05-03,C3,0.305555829206023,0.0,0.0
2020-05-03,C4,0.4095900508330126,0.0,0.0
2020-05-03,C5,0.19344117677293599,0.0,0.0
2020-05-03,D1,65.77714285714286,0.0,0.0
2020-05-03,D2,26.724070450097848,0.0,0.0
2020-05-03,D4,35.58083593393341,0.0,0.0
2020-05-10,A1,24.050113880834015,23.15516389361962,25.03741148566933
2020-05-10,A2,1.2713028285701657,1.170794287389197,1.3718113697511298
2020-05-10,B1,5.495668872138873,0.0,0.0
2020-05-10,B2,0.2531683396393866,0.0,0.0
2020-05-10,C2,0.129483789499473,0.125330504897817,0.133707343109433
2020-05-10,C3,0.16068981360383514,0.0,0.0
2020-05-10,C4,0.4122959840185994,0.0,0.0
2020-05-10,C5,0.136583900587493,0.0,0.0
2020-05-10,D1,72.61571428571429,0.0,0.0
2020-05-10,D2,33.89819371320489,0.0,0.0
2020-05-10,D4,46.47101914608893,0.0,0.0
2020-05-17,A1,27.084605130514557,26.10704262453567,28.09174368909003
2020-05-17,A2,1.129037141381987,1.0867228481767373,1.1713514345872384
2020-05-17,B1,5.066105799674132,0.0,0.0
