Domingo_semana,region,0,0.0275,0.975
2020-03-01,1,0.4,0.0,1.0
2020-03-01,2,0.7,0.1,1.7
2020-03-01,3,0.2,0.0,0.7
2020-03-01,4,0.7,0.1,1.6
2020-03-01,5,1.5,0.4,3.0
2020-03-01,6,0.6,0.0,1.3
2020-03-01,7,1.1,0.3,2.3
2020-03-01,8,1.5,0.5,2.9
2020-03-01,9,1.8,0.7,3.4
2020-03-01,10,1.1,0.3,1.9
2020-03-01,11,0.2,0.0,0.6
2020-03-01,12,0.9,0.3,1.9
2020-03-01,13,10.3,7.4,13.4
2020-03-01,14,0.6,0.0,1.4
2020-03-01,15,0.5,0.0,1.3
2020-03-01,16,1.3,0.4,2.6
2020-03-08,1,0.6,0.0,1.3
2020-03-08,2,1.4,0.7,2.3
2020-03-08,3,0.2,0.0,0.6
2020-03-08,4,1.2,0.4,2.1
2020-03-08,5,3.0,1.6,4.7
2020-03-08,6,1.0,0.1,2.0
2020-03-08,7,1.7,0.7,2.9
2020-03-08,8,5.1,3.4,7.1
2020-03-08,9,5.4,3.1,7.4
2020-03-08,10,3.0,1.7,4.6
2020-03-08,11,0.2,0.0,0.6
2020-03-08,12,2.0,0.9,3.4
2020-03-08,13,49.6,42.7,56.7
2020-03-08,14,1.1,0.3,2.1
2020-03-08,15,0.6,0.1,1.3
2020-03-08,16,5.5,3.8,7.9
2020-03-15,1,1.2,0.4,2.3
2020-03-15,2,3.8,2.1,5.6
2020-03-15,3,0.2,0.0,0.7
2020-03-15,4,2.4,1.3,3.6
2020-03-15,5,9.8,6.9,13.1
2020-03-15,6,1.9,0.9,3.1
2020-03-15,7,3.5,2.0,5.9
2020-03-15,8,18.3,14.6,22.3
2020-03-15,9,28.8,23.7,34.7
2020-03-15,10,12.0,9.1,15.7
2020-03-15,11,0.2,0.0,0.6
2020-03-15,12,9.4,6.5,12.6
2020-03-15,13,141.7,130.8,154.4
2020-03-15,14,4.4,2.6,6.4
2020-03-15,15,1.1,0.4,2.3
2020-03-15,16,22.5,18.2,27.4
2020-03-22,1,2.0,1.0,3.3
2020-03-22,2,5.6,3.5,7.9
2020-03-22,3,0.4,0.0,1.1
2020-03-22,4,2.6,1.1,4.4
2020-03-22,5,14.2,11.1,18.3
2020-03-22,6,2.0,0.9,3.4
2020-03-22,7,6.3,3.9,9.0
2020-03-22,8,22.5,18.0,27.1
2020-03-22,9,40.3,34.9,46.9
2020-03-22,10,19.4,15.4,24.1
2020-03-22,11,0.1,0.0,0.6
2020-03-22,12,17.8,14.2,22.7
2020-03-22,13,158.6,146.4,170.9
2020-03-22,14,6.6,4.4,9.7
2020-03-22,15,3.2,1.9,5.0
2020-03-22,16,31.3,26.6,37.6
2020-03-29,1,3.9,2.1,5.7
2020-03-29,2,8.8,5.8,11.6
2020-03-29,3,0.6,0.0,1.4
2020-03-29,4,2.4,1.2,3.9
2020-03-29,5,14.0,11.0,17.3
2020-03-29,6,1.9,0.9,3.4
2020-03-29,7,7.3,5.1,9.7
2020-03-29,8,20.6,16.3,24.9
2020-03-29,9,34.8,30.0,41.0
2020-03-29,10,16.1,12.7,19.4
2020-03-29,11,0.1,0.0,0.4
2020-03-29,12,21.8,17.3,26.9
