fecha,Estimado,Indicador,Inferior,Superior,Domingo_semana
2020-04-01,2.25695345587566,A1,2.00402809904868,2.51409295051831,2020-03-29
2020-04-02,2.03679045096928,A1,1.783042823349,2.28218689084509,2020-03-29
2020-04-03,2.00297456459477,A1,1.77803211070232,2.27152306649447,2020-03-29
2020-04-04,1.9552828585833,A1,1.72162947347432,2.22565577380564,2020-03-29
2020-04-05,1.72807916000927,A1,1.50051571796317,1.98385676865051,2020-04-05
2020-04-06,2.22568146976793,A1,1.96805375184176,2.52372893637731,2020-04-05
2020-04-07,2.00973260267721,A1,1.77276443843273,2.25096629666194,2020-04-05
2020-04-08,2.04514163871374,A1,1.78843897543003,2.31289356578243,2020-04-05
2020-04-09,2.20825960733486,A1,1.92154406009566,2.46771173858367,2020-04-05
2020-04-10,2.25222539881418,A1,1.97293598467698,2.5234719767544,2020-04-05
2020-04-11,1.83407500445825,A1,1.61344947223063,2.10719738764569,2020-04-05
2020-04-12,1.91093162766962,A1,1.69028039947971,2.15871779203847,2020-04-12
2020-04-13,2.82956227956076,A1,2.47696228500831,3.10432920433481,2020-04-12
2020-04-14,2.65138647703732,A1,2.36312917206068,2.98612777779776,2020-04-12
2020-04-15,3.12642773190478,A1,2.74381485339683,3.49516479077577,2020-04-12
2020-04-16,2.99113849044444,A1,2.67739079087547,3.33045367249263,2020-04-12
2020-04-17,2.95765665157971,A1,2.67160919936007,3.263387210914,2020-04-12
2020-04-18,2.80628173772542,A1,2.4767053253854,3.11486454887398,2020-04-12
2020-04-19,2.80664148119749,A1,2.50278672711042,3.13529283889505,2020-04-19
2020-04-20,4.73702495232114,A1,4.31165399256153,5.21126963235759,2020-04-19
2020-04-21,3.83730652867592,A1,3.41190987295402,4.24497297041727,2020-04-19
2020-04-22,4.20373095094075,A1,3.79208163504436,4.64107622912781,2020-04-19
2020-04-23,4.61412116468491,A1,4.18805641394345,5.03692252821545,2020-04-19
2020-04-24,5.555467047241,A1,5.16463146080004,5.9924268859937,2020-04-19
2020-04-25,5.55721437267676,A1,5.1438177313446,5.9827909001347,2020-04-19
2020-04-26,5.69998113916368,A1,5.2057450004651,6.19285539186086,2020-04-26
2020-04-27,8.94556104821025,A1,8.38716209167189,9.52330906435348,2020-04-26
2020-04-28,8.735753516107,A1,8.16566289672638,9.35962578456197,2020-04-26
2020-04-29,8.89825478163314,A1,8.40746190188151,9.45123189012818,2020-04-26
2020-04-30,10.5564409242118,A1,9.95397339234497,11.2245102478067,2020-04-26
2020-05-01,14.987940884897,A1,14.2250277644873,15.6985627220452,2020-04-26
2020-05-02,13.930089509315,A1,13.3105084665626,14.6678976745668,2020-04-26
2020-05-03,14.5817905049308,A1,13.8547489478788,15.3990762815476,2020-05-03
2020-05-04,20.0243237979043,A1,19.1472178210749,20.9801108112678,2020-05-03
2020-05-05,18.3058806237541,A1,17.4926548091792,19.1643056359982,2020-05-03
2020-05-06,18.4096409194838,A1,17.594924739096,19.1383527140846,2020-05-03
2020-05-07,18.9628235956771,A1,18.198908332738,19.7193384214765,2020-05-03
2020-05-08,21.5595290649599,A1,20.7155708794854,22.443495863721,2020-05-03
2020-05-09,20.2956731596937,A1,19.5126144048481,21.1798969180777,2020-05-03
2020-05-10,22.2717440517702,A1,21.3719742362004,23.3589145203258,2020-05-10
2020-05-11,26.8082891062996,A1,25.6702663283708,27.9834168537761,2020-05-10
2020-05-12,24.3401148403947,A1,23.4331758513458,25.351764875778,2020-05-10
2020-05-13,21.8773110306085,A1,21.1319739484056,22.8090209273056,2020-05-10
2020-05-14,21.4182783602481,A1,20.5515021602595,22.2491059089921,2020-05-10
2020-05-15,27.3210520338097,A1,26.3896247926978,28.4409334623613,2020-05-10
2020-05-16,24.2929627495913,A1,23.3415697457796,25.3467541631313,2020-05-10
2020-05-17,23.928002997177,A1,22.9612695038778,24.9921498835202,2020-05-17
2020-05-18,30.6950860583473,A1,29.5192645198889,31.7095883455449,2020-05-17
2020-05-19,25.8676627106876,A1,24.8095800714451,26.7555352957168,2020-05-17
2020-05-20,29.9757532899825,A1,29.0446600963804,31.025690309179,2020-05-17
2020-05-21,24.0530395496834,A1,23.0641818328519,25.0290235894073,2020-05-17
2020-05-22,28.8053279036052,A1,27.75125383448,29.9156247382224,2020-05-17
2020-05-23,26.1005452169279,A1,25.1761329735213,27.1306963451605,2020-05-17
2020-05-24,23.5638912115184,A1,22.6430250109079,24.4536909937194,2020-05-24
2020-05-25,31.9927064580634,A1,31.0611507371401,33.0863780050786,2020-05-24
2020-05-26,25.2745999010192,A1,24.3434553154925,26.2106524153434,2020-05-24
2020-05-27,25.6463947794027,A1,24.6926634430225,26.6005886431042,2020-05-24
2020-05-28,26.0161082848408,A1,24.9401155598816,26.9823021629319,2020-05-24
2020-05-29,27.1505850199735,A1,26.0709948602936,28.2298411321435,2020-05-24
2020-05-30,25.128980882718,A1,24.2004572853449,26.1137786375076,2020-05-24
2020-05-31,22.8486697971201,A1,21.9542447417068,23.784696615482,2020-05-31
2020-06-01,36.5044549089823,A1,35.2440679586254,37.6450986750648,2020-05-31
2020-06-02,24.3993697294369,A1,23.510906137275,25.5168614334955,2020-05-31
2020-06-03,23.5313344272961,A1,22.5651662451672,24.3908643659187,2020-05-31
2020-06-04,23.1576637436653,A1,22.2203264312266,23.9289794437441,2020-05-31
2020-06-05,26.5469611698035,A1,25.5365188446479,27.588855352803,2020-05-31
2020-06-06,23.037586511881,A1,22.1384847913308,24.1079518210985,2020-05-31
2020-06-07,20.4995963164324,A1,19.6548415561269,21.2467064200334,2020-06-07
2020-06-08,27.280940636674,A1,26.3577617994574,28.3137384490226,2020-06-07
2020-06-09,21.4622698476898,A1,20.5607527066842,22.3223394015205,2020-06-07
2020-06-10,22.7509994444533,A1,21.870989823885,23.7123624816338,2020-06-07
2020-06-11,20.6196735482167,A1,19.7180536233619,21.5333448793857,2020-06-07
2020-06-12,23.3710687104892,A1,22.4581425622266,24.4270956727486,2020-06-07
2020-06-13,21.5769766233553,A1,20.6018662463492,22.5421683589171,2020-06-07
2020-06-14,19.3944386742734,A1,18.6398510456458,20.2025509923524,2020-06-14
2020-06-15,24.6458197037667,A1,23.6748463766894,25.547054189187,2020-06-14
2020-06-16,21.2139440681128,A1,20.2534289976879,22.1655940315474,2020-06-14
2020-06-17,19.2563228769611,A1,18.5213926594858,20.064692154663,2020-06-14
2020-06-18,19.8957925945265,A1,19.029915753218,20.7592540153795,2020-06-14
2020-06-19,20.432992382175,A1,19.5289313409027,21.3956145215078,2020-06-14
2020-06-20,19.2665241739904,A1,18.4078165061611,20.0347563585944,2020-06-14
2020-06-21,15.8672567144834,A1,15.0212171560634,16.6324824714993,2020-06-21
2020-06-22,19.5859506812257,A1,18.7476456074551,20.5689754146172,2020-06-21
2020-06-23,17.5786848909283,A1,16.7375789572681,18.2957821105738,2020-06-21
2020-06-24,16.42249506766,A1,15.6984342422338,17.135480933339,2020-06-21
2020-06-25,15.829380866067,A1,15.0259709090872,16.677450405508,2020-06-21
2020-06-26,16.3255442019374,A1,15.6791622705158,17.1912411715098,2020-06-21
2020-06-27,13.9830745835584,A1,13.2790309127566,14.6835722115641,2020-06-21
2020-06-28,13.2283841710817,A1,12.6205718790584,13.9842565978238,2020-06-28
2020-06-29,14.1232460578539,A1,13.5001446682677,14.8116665835831,2020-06-28
2020-06-30,15.2649690543526,A1,14.557405036717,16.0910685460351,2020-06-28
2020-07-01,16.840208630657,A1,16.1008330117055,17.6089290385445,2020-06-28
2020-07-02,12.4746445092097,A1,11.824896406728,13.1564611726301,2020-06-28
2020-07-03,13.2931379960541,A1,12.4450684566131,13.917447095868,2020-06-28
2020-07-04,12.1340702250093,A1,11.4086218176193,12.84438371061,2020-06-28
2020-07-05,11.5515684558423,A1,10.9559874418693,12.232177409035,2020-07-05
2020-07-06,14.4055675955414,A1,13.6341491116135,15.2839583704854,2020-07-05
2020-07-07,12.5075353409417,A1,11.7624552183617,13.1671249969807,2020-07-05
2020-07-08,11.5295984080837,A1,10.9291351612756,12.2275521358227,2020-07-05
2020-07-09,11.33335834407,A1,10.6626680323214,11.9912777625601,2020-07-05
2020-07-10,12.9349619776846,A1,12.2039118505153,13.7478537447497,2020-07-05
2020-07-11,10.3568089931757,A1,9.74814873439677,10.9126897454095,2020-07-05
2020-07-12,9.92103116868834,A1,9.31080345620971,10.5150447289616,2020-07-12
2020-07-13,12.2488026966371,A1,11.6496499439057,12.8749619057359,2020-07-12
2020-07-14,11.1968100004574,A1,10.4785564625088,11.8058813946329,2020-07-12
2020-07-15,10.6012289864844,A1,9.98429462784795,11.3526046198257,2020-07-12
2020-07-16,9.09917151078382,A1,8.57165910091884,9.667720372427,2020-07-12
2020-07-17,11.338574624415,A1,10.7608266082717,11.9825411353812,2020-07-12
2020-07-18,10.1043718596322,A1,9.50146749640642,10.7001841372658,2020-07-12
2020-07-19,8.63160778094295,A1,8.0222794271445,9.1548289651054,2020-07-19
2020-07-20,12.4243061190823,A1,11.727380229835,13.0592019553599,2020-07-19
2020-07-21,10.4750104197127,A1,9.81495823635249,11.1010411490001,2020-07-19
2020-07-22,10.0729456977507,A1,9.47615697355012,10.7514475820356,2020-07-19
2020-07-23,10.6387450914288,A1,9.99919828597653,11.2715338587986,2020-07-19
2020-07-24,10.0676266335566,A1,9.54849110739833,10.6742312153522,2020-07-19
2020-07-25,9.03148834611022,A1,8.4946996938583,9.68249555074413,2020-07-19
2020-07-26,7.81113570500213,A1,7.29713937130203,8.3777830654358,2020-07-26
2020-07-27,11.2363303904604,A1,10.6319613573841,11.892348307741,2020-07-26
2020-07-28,9.56511639500039,A1,8.9470771099854,10.1916610435336,2020-07-26
2020-07-29,9.05993377636598,A1,8.53594171333482,9.56506500307581,2020-07-26
