Domingo_semana,0,0.0275,0.975,region
2020-03-01,13.5,10.2,17.6,0
2020-03-08,72.9,64.6,81.3,0
2020-03-15,274.1,255.8,291.2,0
2020-03-22,339.0,322.2,356.6,0
2020-03-29,375.4,354.1,396.3,0
2020-04-05,397.6,376.1,416.9,0
2020-04-12,535.8,513.0,558.1,0
2020-04-19,870.4,841.1,898.3,0
2020-04-26,1994.6,1945.6,2040.7,0
2020-05-03,3673.2,3615.1,3734.9,0
2020-05-10,4679.2,4608.7,4749.6,0
2020-05-17,5265.6,5198.0,5334.6,0
2020-05-24,5136.3,5071.5,5207.1,0
2020-05-31,5004.3,4914.1,5079.8,0
2020-06-07,4379.8,4317.0,4445.8,0
2020-06-14,4005.8,3945.6,4070.0,0
2020-06-21,3213.2,3151.2,3270.5,0
2020-06-28,2706.3,2657.2,2753.5,0
2020-07-05,2352.2,2307.4,2399.7,0
2020-07-12,2071.2,2022.9,2109.7,0
2020-07-19,1983.1,1942.0,2029.5,0
2020-07-26,1864.0,1819.3,1909.0,0
2020-08-02,1816.9,1776.8,1857.5,0
2020-08-09,1681.7,1639.4,1727.9,0
2020-08-16,1755.1,1712.6,1799.4,0
2020-08-23,1835.5,1788.9,1878.4,0
2020-08-30,1855.5,1813.4,1901.2,0
2020-09-06,1673.7,1637.0,1717.0,0
2020-09-13,1462.2,1427.5,1499.0,0
2020-09-20,1679.7,1635.5,1724.9,0
2020-09-27,1553.5,1513.2,1593.6,0
2020-10-04,1493.7,1455.3,1533.0,0
2020-10-11,1450.6,1414.3,1485.2,0
2020-10-18,1371.5,1328.8,1407.2,0
2020-10-25,1355.5,1322.0,1389.4,0
2020-11-01,1380.4,1342.5,1415.7,0
2020-11-08,1370.0,1330.9,1408.9,0
2020-11-15,1368.0,1329.4,1402.3,0
2020-11-22,1410.9,1378.9,1453.4,0
2020-11-29,1601.8,1560.8,1648.7,0
2020-12-06,1788.7,1745.5,1831.2,0
2020-12-13,2043.4,2001.1,2088.3,0
2020-12-20,2306.1,2254.2,2357.9,0
2020-12-27,3037.9,2978.3,3091.2,0
2021-01-03,4038.9,3981.6,4097.0,0
2021-01-10,4001.9,3944.1,4062.2,0
2021-01-17,4169.0,4053.3,4304.5,0
