Domingo_semana,0,0.0275,0.975,region
2020-03-01,13.5,10.2,17.6,0
2020-03-08,59.4,49.6,69.5,0
2020-03-15,201.2,182.2,218.9,0
2020-03-22,64.8,44.7,89.9,0
2020-03-29,36.5,10.1,59.7,0
2020-04-05,22.2,-6.6,52.9,0
2020-04-12,138.2,104.8,167.2,0
2020-04-19,334.6,298.6,373.7,0
2020-04-26,1124.2,1056.4,1182.1,0
2020-05-03,1678.6,1608.4,1745.9,0
2020-05-10,1006.0,913.8,1088.7,0
2020-05-17,586.4,495.6,670.9,0
2020-05-24,-129.3,-222.8,-25.8,0
2020-05-31,-132.0,-233.6,-27.1,0
2020-06-07,-624.5,-714.4,-515.9,0
2020-06-14,-374.0,-463.5,-283.4,0
2020-06-21,-792.6,-891.0,-712.1,0
2020-06-28,-506.9,-577.9,-407.3,0
2020-07-05,-354.1,-420.7,-288.2,0
2020-07-12,-281.0,-342.9,-224.4,0
2020-07-19,-88.1,-143.3,-28.8,0
2020-07-26,-119.1,-184.8,-59.8,0
2020-08-02,-47.2,-109.9,14.9,0
2020-08-09,-135.2,-194.4,-60.3,0
2020-08-16,73.4,11.8,140.9,0
2020-08-23,80.4,12.3,141.5,0
2020-08-30,20.0,-46.4,94.3,0
2020-09-06,-181.8,-244.3,-120.6,0
2020-09-13,-211.5,-269.9,-163.9,0
2020-09-20,217.5,166.2,271.2,0
2020-09-27,-126.2,-186.5,-57.5,0
2020-10-04,-59.7,-112.1,-1.6,0
2020-10-11,-43.2,-87.4,5.2,0
2020-10-18,-79.0,-129.3,-25.5,0
2020-10-25,-16.0,-59.8,43.2,0
2020-11-01,24.9,-24.8,71.4,0
2020-11-08,-10.4,-55.1,39.0,0
2020-11-15,-2.0,-52.1,44.2,0
2020-11-22,42.9,-6.6,94.1,0
2020-11-29,190.9,131.6,241.7,0
2020-12-06,186.9,130.0,245.9,0
2020-12-13,254.7,191.0,311.6,0
2020-12-20,262.7,189.4,322.0,0
2020-12-27,731.9,642.0,817.2,0
2021-01-03,1000.9,923.9,1086.2,0
2021-01-10,-37.0,-115.3,37.8,0
2021-01-17,167.1,33.6,324.0,0
2021-01-24,-4169.0,-4303.4,-4052.6,0
